Seeded run: seed=0
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen02_dynassign/dynassign_seed0
Starting SACRED ATLA training from scratch for 800 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Alternating every 50 episodes.
Initial Phase: Training PROTAGONIST (Adversary FROZEN)

Ep    1 | Phase: PROTAGO | Ticks: 780 | Protag R: -8732.00 | Antag R: 8373.00 | Delivery:  51.1% | Budget Used: 3600.00/4000.0
Ep    2 | Phase: PROTAGO | Ticks: 797 | Protag R: -9651.00 | Antag R: 9292.00 | Delivery:  55.3% | Budget Used: 3600.00/4000.0
Ep    3 | Phase: PROTAGO | Ticks: 794 | Protag R: -8880.00 | Antag R: 8509.00 | Delivery:  63.0% | Budget Used: 3720.00/4000.0
Ep    4 | Phase: PROTAGO | Ticks: 791 | Protag R: -8410.00 | Antag R: 8039.00 | Delivery:  55.8% | Budget Used: 3720.00/4000.0
Ep    5 | Phase: PROTAGO | Ticks: 785 | Protag R: -8495.00 | Antag R: 8123.00 | Delivery:  45.8% | Budget Used: 3720.00/4000.0
Ep    6 | Phase: PROTAGO | Ticks: 786 | Protag R: -9254.00 | Antag R: 8895.00 | Delivery:  54.0% | Budget Used: 3600.00/4000.0
Ep    7 | Phase: PROTAGO | Ticks: 775 | Protag R: -10292.00 | Antag R: 9921.00 | Delivery:  41.7% | Budget Used: 3720.00/4000.0
Ep    8 | Phase: PROTAGO | Ticks: 790 | Protag R: -9546.00 | Antag R: 9175.00 | Delivery:  53.2% | Budget Used: 3720.00/4000.0
Ep    9 | Phase: PROTAGO | Ticks: 779 | Protag R: -10448.00 | Antag R: 10076.00 | Delivery:  40.8% | Budget Used: 3720.00/4000.0
Ep   10 | Phase: PROTAGO | Ticks: 791 | Protag R: -9876.00 | Antag R: 9504.00 | Delivery:  44.0% | Budget Used: 3720.00/4000.0
Ep   11 | Phase: PROTAGO | Ticks: 799 | Protag R: -9230.00 | Antag R: 8859.00 | Delivery:  58.7% | Budget Used: 3720.00/4000.0
Ep   12 | Phase: PROTAGO | Ticks: 775 | Protag R: -8685.00 | Antag R: 8326.00 | Delivery:  52.2% | Budget Used: 3600.00/4000.0
Ep   13 | Phase: PROTAGO | Ticks: 785 | Protag R: -3559.00 | Antag R: 3212.00 | Delivery:  71.1% | Budget Used: 3480.00/4000.0
Ep   14 | Phase: PROTAGO | Ticks: 796 | Protag R: -13697.00 | Antag R: 13325.00 | Delivery:  44.4% | Budget Used: 3720.00/4000.0
Ep   15 | Phase: PROTAGO | Ticks: 793 | Protag R: -9652.00 | Antag R: 9293.00 | Delivery:  50.0% | Budget Used: 3600.00/4000.0
Ep   16 | Phase: PROTAGO | Ticks: 784 | Protag R: -6040.00 | Antag R: 5669.00 | Delivery:  56.1% | Budget Used: 3720.00/4000.0
Ep   17 | Phase: PROTAGO | Ticks: 775 | Protag R: -6942.00 | Antag R: 6570.00 | Delivery:  54.2% | Budget Used: 3720.00/4000.0
Ep   18 | Phase: PROTAGO | Ticks: 796 | Protag R: -7912.00 | Antag R: 7541.00 | Delivery:  65.9% | Budget Used: 3720.00/4000.0
