BR gate (corrected): arena=contested reward_baseline=twin antag_target_entropy=0.5 gamma=0.997; training antagonist vs frozen GREEDY for 300 ep.
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep   39 | Phase: ANTAGON | Ticks: 798 | Protag R: -2806.00 | Antag R: 2482.00 | Delivery:  41.7% | Budget Used: 3240.00/4000.0
Ep   40 | Phase: ANTAGON | Ticks: 792 | Protag R: -3530.00 | Antag R: 3254.00 | Delivery:  46.8% | Budget Used: 2760.00/4000.0
Ep   41 | Phase: ANTAGON | Ticks: 786 | Protag R: -5898.00 | Antag R: 5598.00 | Delivery:  34.9% | Budget Used: 3000.00/4000.0
Ep   42 | Phase: ANTAGON | Ticks: 790 | Protag R: -4000.00 | Antag R: 3652.00 | Delivery:  41.2% | Budget Used: 3480.00/4000.0
Ep   43 | Phase: ANTAGON | Ticks: 775 | Protag R: -2932.00 | Antag R: 2644.00 | Delivery:  51.4% | Budget Used: 2880.00/4000.0
Ep   44 | Phase: ANTAGON | Ticks: 775 | Protag R: -4108.00 | Antag R: 3868.00 | Delivery:  41.7% | Budget Used: 2400.00/4000.0
Ep   45 | Phase: ANTAGON | Ticks: 781 | Protag R: -5834.00 | Antag R: 5486.00 | Delivery:  35.6% | Budget Used: 3480.00/4000.0
Ep   46 | Phase: ANTAGON | Ticks: 791 | Protag R: -5499.00 | Antag R: 5163.00 | Delivery:  30.0% | Budget Used: 3360.00/4000.0
Ep   47 | Phase: ANTAGON | Ticks: 795 | Protag R: -3489.00 | Antag R: 3177.00 | Delivery:  52.3% | Budget Used: 3120.00/4000.0
Ep   48 | Phase: ANTAGON | Ticks: 787 | Protag R: -3535.00 | Antag R: 3247.00 | Delivery:  38.9% | Budget Used: 2880.00/4000.0
Ep   49 | Phase: ANTAGON | Ticks: 793 | Protag R: -4217.00 | Antag R: 3893.00 | Delivery:  39.2% | Budget Used: 3240.00/4000.0
Ep   50 | Phase: ANTAGON | Ticks: 797 | Protag R: -4544.00 | Antag R: 4172.00 | Delivery:  31.6% | Budget Used: 3720.00/4000.0
Saving checkpoints for both agents before phase switch...
Ep   51 | Phase: ANTAGON | Ticks: 791 | Protag R: -6407.00 | Antag R: 6059.00 | Delivery:  31.4% | Budget Used: 3480.00/4000.0
Ep   52 | Phase: ANTAGON | Ticks: 797 | Protag R: -5577.00 | Antag R: 5265.00 | Delivery:  31.0% | Budget Used: 3120.00/4000.0
Ep   53 | Phase: ANTAGON | Ticks: 775 | Protag R: -5000.00 | Antag R: 4652.00 | Delivery:  37.7% | Budget Used: 3480.00/4000.0
Ep   54 | Phase: ANTAGON | Ticks: 775 | Protag R: -2035.00 | Antag R: 1723.00 | Delivery:  42.1% | Budget Used: 3120.00/4000.0
Ep   55 | Phase: ANTAGON | Ticks: 779 | Protag R: -3339.00 | Antag R: 3039.00 | Delivery:  39.6% | Budget Used: 3000.00/4000.0
Ep   56 | Phase: ANTAGON | Ticks: 775 | Protag R: -3331.00 | Antag R: 3007.00 | Delivery:  43.5% | Budget Used: 3240.00/4000.0
Ep   57 | Phase: ANTAGON | Ticks: 796 | Protag R: -3236.00 | Antag R: 2984.00 | Delivery:  40.4% | Budget Used: 2520.00/4000.0
Ep   58 | Phase: ANTAGON | Ticks: 776 | Protag R: -2937.00 | Antag R: 2649.00 | Delivery:  46.8% | Budget Used: 2880.00/4000.0
Ep   59 | Phase: ANTAGON | Ticks: 794 | Protag R: -2679.00 | Antag R: 2367.00 | Delivery:  56.1% | Budget Used: 3120.00/4000.0
Ep   60 | Phase: ANTAGON | Ticks: 781 | Protag R: -5214.00 | Antag R: 4914.00 | Delivery:  42.9% | Budget Used: 3000.00/4000.0
Ep   61 | Phase: ANTAGON | Ticks: 779 | Protag R: -2863.00 | Antag R: 2587.00 | Delivery:  33.9% | Budget Used: 2760.00/4000.0
Ep   62 | Phase: ANTAGON | Ticks: 795 | Protag R: -5657.00 | Antag R: 5333.00 | Delivery:  38.1% | Budget Used: 3240.00/4000.0
Ep   63 | Phase: ANTAGON | Ticks: 797 | Protag R: -3076.00 | Antag R: 2764.00 | Delivery:  42.3% | Budget Used: 3120.00/4000.0
Ep   64 | Phase: ANTAGON | Ticks: 799 | Protag R: -5091.00 | Antag R: 4743.00 | Delivery:  40.9% | Budget Used: 3480.00/4000.0
Ep   65 | Phase: ANTAGON | Ticks: 777 | Protag R: -4747.00 | Antag R: 4471.00 | Delivery:  44.4% | Budget Used: 2760.00/4000.0
