Seeded run: seed=0
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Dynassign: forcing --preseed-buffer False (no ERB for the dynamic rung yet).
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen03_robustness_dynassign/vanilla_seed0/snapshots/protagonist_ep450.pt (node_in_dim=13, edge_in_dim=2).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen04_antag_gate/br_fixed_vanilla_s0_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep   37 | Phase: ANTAGON | Ticks: 789 | Protag R: -9067.00 | Antag R: 8695.00 | Delivery:  58.7% | Budget Used: 3720.00/4000.0
Ep   38 | Phase: ANTAGON | Ticks: 792 | Protag R: -11913.00 | Antag R: 11542.00 | Delivery:  48.3% | Budget Used: 3720.00/4000.0
Ep   39 | Phase: ANTAGON | Ticks: 781 | Protag R: -13224.00 | Antag R: 12853.00 | Delivery:  48.3% | Budget Used: 3720.00/4000.0
Ep   40 | Phase: ANTAGON | Ticks: 797 | Protag R: -5991.00 | Antag R: 5620.00 | Delivery:  68.1% | Budget Used: 3720.00/4000.0
Ep   41 | Phase: ANTAGON | Ticks: 781 | Protag R: -6986.00 | Antag R: 6615.00 | Delivery:  46.5% | Budget Used: 3720.00/4000.0
Ep   42 | Phase: ANTAGON | Ticks: 799 | Protag R: -11648.00 | Antag R: 11277.00 | Delivery:  54.9% | Budget Used: 3720.00/4000.0
Ep   43 | Phase: ANTAGON | Ticks: 786 | Protag R: -4263.00 | Antag R: 3892.00 | Delivery:  68.6% | Budget Used: 3720.00/4000.0
Ep   44 | Phase: ANTAGON | Ticks: 797 | Protag R: -8473.00 | Antag R: 8102.00 | Delivery:  60.4% | Budget Used: 3720.00/4000.0
Ep   45 | Phase: ANTAGON | Ticks: 796 | Protag R: -8341.00 | Antag R: 7970.00 | Delivery:  64.4% | Budget Used: 3720.00/4000.0
Ep   46 | Phase: ANTAGON | Ticks: 791 | Protag R: -11657.00 | Antag R: 11287.00 | Delivery:  45.0% | Budget Used: 3720.00/4000.0
Ep   47 | Phase: ANTAGON | Ticks: 783 | Protag R: -6685.00 | Antag R: 6314.00 | Delivery:  63.6% | Budget Used: 3720.00/4000.0
Ep   48 | Phase: ANTAGON | Ticks: 788 | Protag R: -13106.00 | Antag R: 12735.00 | Delivery:  48.1% | Budget Used: 3720.00/4000.0
Ep   49 | Phase: ANTAGON | Ticks: 788 | Protag R: -10315.00 | Antag R: 9944.00 | Delivery:  54.9% | Budget Used: 3720.00/4000.0
Ep   50 | Phase: ANTAGON | Ticks: 781 | Protag R: -10541.00 | Antag R: 10170.00 | Delivery:  49.1% | Budget Used: 3720.00/4000.0
Saving checkpoints for both agents before phase switch...
Ep   51 | Phase: ANTAGON | Ticks: 799 | Protag R: -11118.00 | Antag R: 10747.00 | Delivery:  52.9% | Budget Used: 3720.00/4000.0
Ep   52 | Phase: ANTAGON | Ticks: 799 | Protag R: -15073.00 | Antag R: 14702.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep   53 | Phase: ANTAGON | Ticks: 778 | Protag R: -9796.00 | Antag R: 9425.00 | Delivery:  54.7% | Budget Used: 3720.00/4000.0
Ep   54 | Phase: ANTAGON | Ticks: 788 | Protag R: -12216.00 | Antag R: 11845.00 | Delivery:  52.6% | Budget Used: 3720.00/4000.0
Ep   55 | Phase: ANTAGON | Ticks: 798 | Protag R: -7643.00 | Antag R: 7271.00 | Delivery:  54.2% | Budget Used: 3720.00/4000.0
