Seeded run: seed=2
Initializing SACRED Stage-2 HYBRID (assignment + next-hop routing, static demand)...
Configuring Protagonist Dispatch Agent...
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen05_hybrid_matrix/hybrid_scripted_seed2
Starting SACRED training (mode=scripted_adversary) for 400 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training PROTAGONIST

Ep    1 | Phase: PROTAGO | Ticks: 797 | Protag R: -5728.00 | Antag R: 5578.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep    2 | Phase: PROTAGO | Ticks: 797 | Protag R: -5129.00 | Antag R: 4979.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep    3 | Phase: PROTAGO | Ticks: 799 | Protag R: -5945.00 | Antag R: 5795.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep    4 | Phase: PROTAGO | Ticks: 798 | Protag R: -5561.00 | Antag R: 5411.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep    5 | Phase: PROTAGO | Ticks: 799 | Protag R: -5612.00 | Antag R: 5462.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep    6 | Phase: PROTAGO | Ticks: 799 | Protag R: -5554.00 | Antag R: 5404.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep    7 | Phase: PROTAGO | Ticks: 799 | Protag R: -5557.00 | Antag R: 5407.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep    8 | Phase: PROTAGO | Ticks: 799 | Protag R: -5060.00 | Antag R: 4910.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep    9 | Phase: PROTAGO | Ticks: 798 | Protag R: -5328.00 | Antag R: 5178.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   10 | Phase: PROTAGO | Ticks: 798 | Protag R: -5711.00 | Antag R: 5561.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   11 | Phase: PROTAGO | Ticks: 799 | Protag R: -5621.00 | Antag R: 5471.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   12 | Phase: PROTAGO | Ticks: 798 | Protag R: -6006.00 | Antag R: 5856.00 | Delivery:  12.5% | Budget Used: 1500.00/1500.0
Ep   13 | Phase: PROTAGO | Ticks: 799 | Protag R: -5657.00 | Antag R: 5507.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   14 | Phase: PROTAGO | Ticks: 799 | Protag R: -5566.00 | Antag R: 5416.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   15 | Phase: PROTAGO | Ticks: 799 | Protag R: -5003.00 | Antag R: 4853.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   16 | Phase: PROTAGO | Ticks: 799 | Protag R: -5638.00 | Antag R: 5488.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   17 | Phase: PROTAGO | Ticks: 799 | Protag R: -6044.00 | Antag R: 5894.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   18 | Phase: PROTAGO | Ticks: 798 | Protag R: -5232.00 | Antag R: 5082.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   19 | Phase: PROTAGO | Ticks: 799 | Protag R: -5425.00 | Antag R: 5275.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   20 | Phase: PROTAGO | Ticks: 799 | Protag R: -5679.00 | Antag R: 5529.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   21 | Phase: PROTAGO | Ticks: 799 | Protag R: -5334.00 | Antag R: 5184.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   22 | Phase: PROTAGO | Ticks: 799 | Protag R: -5308.00 | Antag R: 5158.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   23 | Phase: PROTAGO | Ticks: 798 | Protag R: -5336.00 | Antag R: 5186.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   24 | Phase: PROTAGO | Ticks: 799 | Protag R: -5633.00 | Antag R: 5483.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   25 | Phase: PROTAGO | Ticks: 799 | Protag R: -4688.00 | Antag R: 4538.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Saving checkpoints for both agents before phase switch...
Ep   26 | Phase: PROTAGO | Ticks: 799 | Protag R: -5630.00 | Antag R: 5480.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   27 | Phase: PROTAGO | Ticks: 797 | Protag R: -5480.00 | Antag R: 5330.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
