Seeded run: seed=0
Initializing SACRED Stage-2 HYBRID (assignment + next-hop routing, static demand)...
Configuring Protagonist Dispatch Agent...
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen05_hybrid_matrix/hybrid_scripted_seed0
Starting SACRED training (mode=scripted_adversary) for 400 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training PROTAGONIST

Ep   38 | Phase: PROTAGO | Ticks: 798 | Protag R: -5645.00 | Antag R: 5495.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   39 | Phase: PROTAGO | Ticks: 799 | Protag R: -5109.00 | Antag R: 4959.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   40 | Phase: PROTAGO | Ticks: 799 | Protag R: -5266.00 | Antag R: 5116.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   41 | Phase: PROTAGO | Ticks: 799 | Protag R: -5489.00 | Antag R: 5339.00 | Delivery:  62.5% | Budget Used: 1500.00/1500.0
Ep   42 | Phase: PROTAGO | Ticks: 799 | Protag R: -5787.00 | Antag R: 5637.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   43 | Phase: PROTAGO | Ticks: 799 | Protag R: -5962.00 | Antag R: 5812.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   44 | Phase: PROTAGO | Ticks: 798 | Protag R: -5558.00 | Antag R: 5408.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   45 | Phase: PROTAGO | Ticks: 798 | Protag R: -5648.00 | Antag R: 5498.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   46 | Phase: PROTAGO | Ticks: 799 | Protag R: -5889.00 | Antag R: 5739.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   47 | Phase: PROTAGO | Ticks: 799 | Protag R: -5480.00 | Antag R: 5330.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   48 | Phase: PROTAGO | Ticks: 799 | Protag R: -5726.00 | Antag R: 5576.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   49 | Phase: PROTAGO | Ticks: 798 | Protag R: -5443.00 | Antag R: 5293.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   50 | Phase: PROTAGO | Ticks: 797 | Protag R: -5421.00 | Antag R: 5271.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
  [EVAL ep 50] greedy_atk=847 learned_atk=6400 gap=+5553 (neg = learned beats greedy under attack)
Saving checkpoints for both agents before phase switch...
Ep   51 | Phase: PROTAGO | Ticks: 799 | Protag R: -5600.00 | Antag R: 5450.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   52 | Phase: PROTAGO | Ticks: 799 | Protag R: -5105.00 | Antag R: 4955.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   53 | Phase: PROTAGO | Ticks: 799 | Protag R: -5428.00 | Antag R: 5278.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   54 | Phase: PROTAGO | Ticks: 796 | Protag R: -5362.00 | Antag R: 5212.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   55 | Phase: PROTAGO | Ticks: 798 | Protag R: -5314.00 | Antag R: 5164.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   56 | Phase: PROTAGO | Ticks: 799 | Protag R: -5881.00 | Antag R: 5731.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   57 | Phase: PROTAGO | Ticks: 799 | Protag R: -5949.00 | Antag R: 5799.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   58 | Phase: PROTAGO | Ticks: 799 | Protag R: -5433.00 | Antag R: 5283.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   59 | Phase: PROTAGO | Ticks: 795 | Protag R: -6099.00 | Antag R: 5949.00 | Delivery:  12.5% | Budget Used: 1500.00/1500.0
Ep   60 | Phase: PROTAGO | Ticks: 799 | Protag R: -5741.00 | Antag R: 5591.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   61 | Phase: PROTAGO | Ticks: 799 | Protag R: -5693.00 | Antag R: 5543.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   62 | Phase: PROTAGO | Ticks: 799 | Protag R: -5782.00 | Antag R: 5632.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   63 | Phase: PROTAGO | Ticks: 799 | Protag R: -5818.00 | Antag R: 5668.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   64 | Phase: PROTAGO | Ticks: 799 | Protag R: -5893.00 | Antag R: 5743.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   65 | Phase: PROTAGO | Ticks: 797 | Protag R: -5930.00 | Antag R: 5780.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   66 | Phase: PROTAGO | Ticks: 799 | Protag R: -5900.00 | Antag R: 5750.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   67 | Phase: PROTAGO | Ticks: 799 | Protag R: -5864.00 | Antag R: 5714.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   68 | Phase: PROTAGO | Ticks: 798 | Protag R: -5400.00 | Antag R: 5250.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   69 | Phase: PROTAGO | Ticks: 799 | Protag R: -5394.00 | Antag R: 5244.00 | Delivery:  62.5% | Budget Used: 1500.00/1500.0
Ep   70 | Phase: PROTAGO | Ticks: 798 | Protag R: -5182.00 | Antag R: 5032.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   71 | Phase: PROTAGO | Ticks: 799 | Protag R: -5467.00 | Antag R: 5317.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   72 | Phase: PROTAGO | Ticks: 799 | Protag R: -5681.00 | Antag R: 5531.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   73 | Phase: PROTAGO | Ticks: 799 | Protag R: -5776.00 | Antag R: 5626.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   74 | Phase: PROTAGO | Ticks: 798 | Protag R: -5636.00 | Antag R: 5486.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   75 | Phase: PROTAGO | Ticks: 798 | Protag R: -5929.00 | Antag R: 5779.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Saving checkpoints for both agents before phase switch...
Ep   76 | Phase: PROTAGO | Ticks: 798 | Protag R: -5042.00 | Antag R: 4892.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   77 | Phase: PROTAGO | Ticks: 799 | Protag R: -5706.00 | Antag R: 5556.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   78 | Phase: PROTAGO | Ticks: 799 | Protag R: -5279.00 | Antag R: 5129.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   79 | Phase: PROTAGO | Ticks: 799 | Protag R: -5673.00 | Antag R: 5523.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   80 | Phase: PROTAGO | Ticks: 797 | Protag R: -5788.00 | Antag R: 5638.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   81 | Phase: PROTAGO | Ticks: 798 | Protag R: -5989.00 | Antag R: 5839.00 | Delivery:  12.5% | Budget Used: 1500.00/1500.0
