Seeded run: seed=1
Initializing SACRED Stage-2 HYBRID (assignment + next-hop routing, static demand)...
Configuring Protagonist Dispatch Agent...
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen05_hybrid_matrix/hybrid_scripted_seed1
Starting SACRED training (mode=scripted_adversary) for 400 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training PROTAGONIST

Ep    1 | Phase: PROTAGO | Ticks: 799 | Protag R: -5844.00 | Antag R: 5694.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep    2 | Phase: PROTAGO | Ticks: 798 | Protag R: -5402.00 | Antag R: 5252.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep    3 | Phase: PROTAGO | Ticks: 799 | Protag R: -5488.00 | Antag R: 5338.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep    4 | Phase: PROTAGO | Ticks: 798 | Protag R: -5244.00 | Antag R: 5094.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep    5 | Phase: PROTAGO | Ticks: 799 | Protag R: -5703.00 | Antag R: 5553.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep    6 | Phase: PROTAGO | Ticks: 798 | Protag R: -5299.00 | Antag R: 5149.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep    7 | Phase: PROTAGO | Ticks: 799 | Protag R: -5613.00 | Antag R: 5463.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep    8 | Phase: PROTAGO | Ticks: 797 | Protag R: -5100.00 | Antag R: 4950.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep    9 | Phase: PROTAGO | Ticks: 799 | Protag R: -5567.00 | Antag R: 5417.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   10 | Phase: PROTAGO | Ticks: 798 | Protag R: -5621.00 | Antag R: 5471.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   11 | Phase: PROTAGO | Ticks: 799 | Protag R: -5506.00 | Antag R: 5356.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   12 | Phase: PROTAGO | Ticks: 799 | Protag R: -5846.00 | Antag R: 5696.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   13 | Phase: PROTAGO | Ticks: 799 | Protag R: -5506.00 | Antag R: 5356.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   14 | Phase: PROTAGO | Ticks: 799 | Protag R: -5679.00 | Antag R: 5529.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   15 | Phase: PROTAGO | Ticks: 798 | Protag R: -5365.00 | Antag R: 5215.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   16 | Phase: PROTAGO | Ticks: 799 | Protag R: -5715.00 | Antag R: 5565.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   17 | Phase: PROTAGO | Ticks: 799 | Protag R: -5724.00 | Antag R: 5574.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   18 | Phase: PROTAGO | Ticks: 799 | Protag R: -5351.00 | Antag R: 5201.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   19 | Phase: PROTAGO | Ticks: 799 | Protag R: -5365.00 | Antag R: 5215.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   20 | Phase: PROTAGO | Ticks: 798 | Protag R: -5493.00 | Antag R: 5343.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   21 | Phase: PROTAGO | Ticks: 799 | Protag R: -5605.00 | Antag R: 5455.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   22 | Phase: PROTAGO | Ticks: 799 | Protag R: -5604.00 | Antag R: 5454.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   23 | Phase: PROTAGO | Ticks: 799 | Protag R: -5719.00 | Antag R: 5569.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
