Seeded run: seed=0
Initializing SACRED Stage-2 HYBRID (assignment + next-hop routing, static demand)...
Hybrid: forcing --preseed-buffer False.
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen05_hybrid_matrix/hybrid_scripted_seed0/snapshots/protagonist_ep350.pt (node_in_dim=13, edge_in_dim=4).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen05_hybrid_matrix/br_scripted_s0_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep   37 | Phase: ANTAGON | Ticks: 797 | Protag R: -5844.00 | Antag R: 5694.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   38 | Phase: ANTAGON | Ticks: 798 | Protag R: -5402.00 | Antag R: 5252.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   39 | Phase: ANTAGON | Ticks: 799 | Protag R: -6057.00 | Antag R: 5907.00 | Delivery:  12.5% | Budget Used: 1500.00/1500.0
Ep   40 | Phase: ANTAGON | Ticks: 798 | Protag R: -5586.00 | Antag R: 5436.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   41 | Phase: ANTAGON | Ticks: 799 | Protag R: -5301.00 | Antag R: 5151.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   42 | Phase: ANTAGON | Ticks: 799 | Protag R: -4941.00 | Antag R: 4791.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   43 | Phase: ANTAGON | Ticks: 799 | Protag R: -5355.00 | Antag R: 5205.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   44 | Phase: ANTAGON | Ticks: 798 | Protag R: -5315.00 | Antag R: 5165.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   45 | Phase: ANTAGON | Ticks: 799 | Protag R: -5577.00 | Antag R: 5427.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   46 | Phase: ANTAGON | Ticks: 799 | Protag R: -6019.00 | Antag R: 5869.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   47 | Phase: ANTAGON | Ticks: 799 | Protag R: -5206.00 | Antag R: 5056.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   48 | Phase: ANTAGON | Ticks: 799 | Protag R: -4707.00 | Antag R: 4557.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   49 | Phase: ANTAGON | Ticks: 798 | Protag R: -5701.00 | Antag R: 5551.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   50 | Phase: ANTAGON | Ticks: 799 | Protag R: -5377.00 | Antag R: 5227.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Saving checkpoints for both agents before phase switch...
Ep   51 | Phase: ANTAGON | Ticks: 799 | Protag R: -4977.00 | Antag R: 4827.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   52 | Phase: ANTAGON | Ticks: 797 | Protag R: -5380.00 | Antag R: 5230.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   53 | Phase: ANTAGON | Ticks: 799 | Protag R: -5162.00 | Antag R: 5012.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   54 | Phase: ANTAGON | Ticks: 799 | Protag R: -5411.00 | Antag R: 5261.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   55 | Phase: ANTAGON | Ticks: 798 | Protag R: -5557.00 | Antag R: 5407.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   56 | Phase: ANTAGON | Ticks: 798 | Protag R: -5336.00 | Antag R: 5186.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   57 | Phase: ANTAGON | Ticks: 799 | Protag R: -5388.00 | Antag R: 5238.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   58 | Phase: ANTAGON | Ticks: 798 | Protag R: -4824.00 | Antag R: 4674.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   59 | Phase: ANTAGON | Ticks: 799 | Protag R: -5557.00 | Antag R: 5407.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   60 | Phase: ANTAGON | Ticks: 799 | Protag R: -5640.00 | Antag R: 5490.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
