Seeded run: seed=0
Initializing SACRED Stage-2 HYBRID (assignment + next-hop routing, static demand)...
Hybrid: forcing --preseed-buffer False.
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen05_hybrid_matrix/hybrid_vanilla_seed0/snapshots/protagonist_ep375.pt (node_in_dim=13, edge_in_dim=4).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen05_hybrid_matrix/br_vanilla_s0_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep   37 | Phase: ANTAGON | Ticks: 799 | Protag R: -4872.00 | Antag R: 4722.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   38 | Phase: ANTAGON | Ticks: 799 | Protag R: -5386.00 | Antag R: 5236.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   39 | Phase: ANTAGON | Ticks: 798 | Protag R: -4890.00 | Antag R: 4740.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   40 | Phase: ANTAGON | Ticks: 799 | Protag R: -5290.00 | Antag R: 5140.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   41 | Phase: ANTAGON | Ticks: 799 | Protag R: -4980.00 | Antag R: 4830.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   42 | Phase: ANTAGON | Ticks: 799 | Protag R: -5363.00 | Antag R: 5213.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   43 | Phase: ANTAGON | Ticks: 798 | Protag R: -5696.00 | Antag R: 5546.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   44 | Phase: ANTAGON | Ticks: 799 | Protag R: -5485.00 | Antag R: 5335.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   45 | Phase: ANTAGON | Ticks: 799 | Protag R: -5225.00 | Antag R: 5075.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   46 | Phase: ANTAGON | Ticks: 799 | Protag R: -5456.00 | Antag R: 5306.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   47 | Phase: ANTAGON | Ticks: 799 | Protag R: -5421.00 | Antag R: 5271.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   48 | Phase: ANTAGON | Ticks: 798 | Protag R: -4811.00 | Antag R: 4661.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   49 | Phase: ANTAGON | Ticks: 799 | Protag R: -4900.00 | Antag R: 4750.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   50 | Phase: ANTAGON | Ticks: 799 | Protag R: -5597.00 | Antag R: 5447.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Saving checkpoints for both agents before phase switch...
Ep   51 | Phase: ANTAGON | Ticks: 798 | Protag R: -4532.00 | Antag R: 4382.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   52 | Phase: ANTAGON | Ticks: 799 | Protag R: -5567.00 | Antag R: 5417.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   53 | Phase: ANTAGON | Ticks: 799 | Protag R: -5472.00 | Antag R: 5322.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   54 | Phase: ANTAGON | Ticks: 799 | Protag R: -5294.00 | Antag R: 5144.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   55 | Phase: ANTAGON | Ticks: 799 | Protag R: -4727.00 | Antag R: 4577.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   56 | Phase: ANTAGON | Ticks: 798 | Protag R: -4952.00 | Antag R: 4802.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   57 | Phase: ANTAGON | Ticks: 798 | Protag R: -4932.00 | Antag R: 4782.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   58 | Phase: ANTAGON | Ticks: 799 | Protag R: -5129.00 | Antag R: 4979.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   59 | Phase: ANTAGON | Ticks: 799 | Protag R: -5813.00 | Antag R: 5663.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   60 | Phase: ANTAGON | Ticks: 799 | Protag R: -5269.00 | Antag R: 5119.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   61 | Phase: ANTAGON | Ticks: 799 | Protag R: -5789.00 | Antag R: 5639.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   62 | Phase: ANTAGON | Ticks: 799 | Protag R: -5725.00 | Antag R: 5575.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   63 | Phase: ANTAGON | Ticks: 798 | Protag R: -5511.00 | Antag R: 5361.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   64 | Phase: ANTAGON | Ticks: 798 | Protag R: -5627.00 | Antag R: 5477.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   65 | Phase: ANTAGON | Ticks: 798 | Protag R: -5406.00 | Antag R: 5256.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   66 | Phase: ANTAGON | Ticks: 799 | Protag R: -4818.00 | Antag R: 4668.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   67 | Phase: ANTAGON | Ticks: 798 | Protag R: -5699.00 | Antag R: 5549.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   68 | Phase: ANTAGON | Ticks: 798 | Protag R: -4824.00 | Antag R: 4674.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   69 | Phase: ANTAGON | Ticks: 799 | Protag R: -5000.00 | Antag R: 4850.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   70 | Phase: ANTAGON | Ticks: 799 | Protag R: -5382.00 | Antag R: 5232.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   71 | Phase: ANTAGON | Ticks: 798 | Protag R: -5688.00 | Antag R: 5538.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   72 | Phase: ANTAGON | Ticks: 799 | Protag R: -5525.00 | Antag R: 5375.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   73 | Phase: ANTAGON | Ticks: 799 | Protag R: -5171.00 | Antag R: 5021.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   74 | Phase: ANTAGON | Ticks: 799 | Protag R: -5270.00 | Antag R: 5120.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   75 | Phase: ANTAGON | Ticks: 799 | Protag R: -5513.00 | Antag R: 5363.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   76 | Phase: ANTAGON | Ticks: 799 | Protag R: -4974.00 | Antag R: 4824.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   77 | Phase: ANTAGON | Ticks: 799 | Protag R: -5603.00 | Antag R: 5453.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   78 | Phase: ANTAGON | Ticks: 798 | Protag R: -4529.00 | Antag R: 4379.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
