tag,map,range_mult,seed,K,kind,hidden_leth,conceal_reach,n_conceal,phi,R,H,mean_known,eq_static,forgetful_opt,forgetful_cap,forgetful_blind,forgetful_revealed,forgetful_G1,forgetful_G2,forgetful_G_conceal,forgetful_degenerate,persistent_opt,persistent_cap,persistent_blind,persistent_revealed,persistent_G1,persistent_G2,persistent_G_conceal,persistent_degenerate,persistent_blind_arm,persistent_revealed_arm,opt_T10,opt_T20,opt_T40,opt_T80
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5101,3,mixed,0.8,0.43,1,0.4228,26,200,0.8136,0.002891,0.009353,0.043689,0.114608,0.081657,4.671277,8.730805,1.40353,False,0.009026,0.042875,0.115148,0.034726,4.750032,3.847213,3.31595,False,blind_anti_uniform_lanes,revealed_uniform_lanes_anti_top3,0.008046,0.008692,0.009026,0.009188
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5102,3,mixed,0.8,0.43,1,0.3731,26,200,1.0148,0.019665,0.017662,0.094908,0.227722,0.090566,5.37355,5.127676,2.514445,False,0.017162,0.093251,0.22769,0.078224,5.433524,4.557973,2.910731,False,blind_anti_uniform_full,revealed_uniform_lanes_anti_top2,0.015662,0.016636,0.017162,0.017406
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5100,3,mixed,1.0,0.43,1,0.4228,26,200,1.0873,0.011926,0.026011,0.102488,0.108841,0.065003,3.940267,2.499105,1.674403,False,0.024921,0.100431,0.109484,0.05804,4.02997,2.328963,1.886357,False,blind_anti_uniform_lanes,revealed_uniform_full_anti_top2,0.021813,0.023832,0.024921,0.025464
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5101,3,mixed,1.0,0.43,1,0.4228,26,200,0.8136,0.002891,0.009779,0.044626,0.114067,0.082013,4.563512,8.38677,1.39084,False,0.009417,0.04344,0.114599,0.034616,4.612905,3.675907,3.310589,False,blind_anti_uniform_lanes,revealed_uniform_lanes_anti_top3,0.008331,0.009038,0.009417,0.009594
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5102,3,mixed,1.0,0.43,1,0.3731,26,200,1.0148,0.019665,0.015979,0.086203,0.226294,0.088713,5.394736,5.551793,2.550867,False,0.015544,0.08467,0.226263,0.075155,5.447114,4.834985,3.01061,False,blind_anti_uniform_full,revealed_uniform_lanes_anti_top2,0.014239,0.015085,0.015544,0.015756
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5100,3,random,0.4,0.43,1,0.3234,26,200,0.2234,0.014204,0.019835,0.124124,0.167867,0.142502,6.257941,7.184553,1.177994,False,0.019745,0.122922,0.167864,0.13838,6.225393,7.008267,1.213066,False,blind_anti_uniform_full,revealed_uniform_full_anti,0.019502,0.019656,0.019745,0.01979
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5101,3,random,0.4,0.43,1,0.4228,26,200,0.0,0.028439,0.017638,0.124072,0.112541,0.112541,7.034218,6.380452,1.0,False,0.017578,0.123624,0.112559,0.112559,7.033019,6.403502,1.0,False,blind_anti_uniform_full,revealed_uniform_full_anti,0.017396,0.017539,0.017578,0.017614
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5102,3,random,0.4,0.43,1,0.3731,26,200,0.0,0.0045,0.007781,0.05336,0.160315,0.160315,6.857795,20.603664,1.0,False,0.007702,0.053274,0.160343,0.160343,6.916471,20.817038,1.0,False,blind_anti_uniform_full,revealed_uniform_full_anti,0.007467,0.007558,0.007702,0.007725
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5100,3,random,0.6,0.43,1,0.3234,26,200,0.2234,0.014263,0.020299,0.118426,0.167034,0.141397,5.834229,6.965856,1.181313,False,0.020169,0.116998,0.167031,0.1379,5.800847,6.837209,1.211246,False,blind_anti_uniform_full,revealed_uniform_full_anti,0.019785,0.02004,0.020169,0.020234
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5101,3,random,0.6,0.43,1,0.4228,26,200,0.0,0.028562,0.017579,0.127228,0.111994,0.111994,7.237554,6.370917,1.0,False,0.017502,0.126607,0.112012,0.112012,7.233782,6.399864,1.0,False,blind_anti_uniform_full,revealed_uniform_full_anti,0.017273,0.017447,0.017502,0.017546
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5102,3,random,0.6,0.43,1,0.3731,26,200,0.0,0.004501,0.007572,0.053611,0.159815,0.159815,7.080259,21.106522,1.0,False,0.007493,0.053429,0.15984,0.15984,7.130691,21.332475,1.0,False,blind_anti_uniform_full,revealed_uniform_full_anti,0.007256,0.007352,0.007493,0.007517
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5100,3,random,0.8,0.43,1,0.3234,26,200,0.2234,0.014306,0.020363,0.122991,0.166617,0.141905,6.039875,6.968716,1.174147,False,0.020231,0.121449,0.166615,0.137803,6.002973,6.811356,1.209079,False,blind_anti_uniform_full,revealed_uniform_full_anti,0.019836,0.020154,0.020231,0.020311
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5101,3,random,0.8,0.43,1,0.4228,26,200,0.0,0.028698,0.017434,0.123607,0.111399,0.111399,7.089862,6.389658,1.0,False,0.017355,0.123139,0.111417,0.111417,7.095376,6.419918,1.0,False,blind_anti_uniform_full,revealed_uniform_full_anti,0.017116,0.017292,0.017355,0.017399
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5102,3,random,0.8,0.43,1,0.3731,26,200,0.0,0.004501,0.007344,0.052392,0.159979,0.159979,7.133769,21.782837,1.0,False,0.007264,0.052257,0.160002,0.160002,7.194349,22.027882,1.0,False,blind_anti_uniform_full,revealed_uniform_full_anti,0.007022,0.007123,0.007264,0.007289
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5100,3,random,1.0,0.43,1,0.3234,26,200,0.2234,0.01434,0.020108,0.123598,0.166363,0.143012,6.146664,7.112154,1.163278,False,0.020025,0.122122,0.16636,0.138011,6.098385,6.891871,1.205409,False,blind_anti_uniform_full,revealed_uniform_full_anti,0.019776,0.020034,0.020025,0.02009
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5101,3,random,1.0,0.43,1,0.4228,26,200,0.0,0.028852,0.017217,0.124543,0.110629,0.110629,7.233812,6.425606,1.0,False,0.017137,0.12407,0.110646,0.110646,7.23976,6.456453,1.0,False,blind_anti_uniform_full,revealed_uniform_full_anti,0.016896,0.017072,0.017137,0.017181
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5102,3,random,1.0,0.43,1,0.3731,26,200,0.0,0.004501,0.007089,0.051464,0.161064,0.161064,7.259826,22.72087,1.0,False,0.007009,0.051368,0.161087,0.161087,7.329249,22.98417,1.0,False,blind_anti_uniform_full,revealed_uniform_full_anti,0.006768,0.00687,0.007009,0.007034
