Seeded run: seed=0
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Dynassign: forcing --preseed-buffer False (no ERB for the dynamic rung yet).
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen02_dynassign/dynassign_seed0/snapshots/protagonist_ep450.pt (node_in_dim=11).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen03_robustness_dynassign/br_sacred_s0_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep    1 | Phase: ANTAGON | Ticks: 780 | Protag R: -11409.00 | Antag R: 11038.00 | Delivery:  38.3% | Budget Used: 3720.00/4000.0
Ep    2 | Phase: ANTAGON | Ticks: 775 | Protag R: -8417.00 | Antag R: 8046.00 | Delivery:  55.3% | Budget Used: 3720.00/4000.0
Ep    3 | Phase: ANTAGON | Ticks: 792 | Protag R: -10392.00 | Antag R: 10021.00 | Delivery:  54.3% | Budget Used: 3720.00/4000.0
Ep    4 | Phase: ANTAGON | Ticks: 775 | Protag R: -8261.00 | Antag R: 7890.00 | Delivery:  53.5% | Budget Used: 3720.00/4000.0
Ep    5 | Phase: ANTAGON | Ticks: 793 | Protag R: -8308.00 | Antag R: 7936.00 | Delivery:  41.7% | Budget Used: 3720.00/4000.0
Ep    6 | Phase: ANTAGON | Ticks: 785 | Protag R: -9880.00 | Antag R: 9509.00 | Delivery:  46.0% | Budget Used: 3720.00/4000.0
Ep    7 | Phase: ANTAGON | Ticks: 793 | Protag R: -10249.00 | Antag R: 9878.00 | Delivery:  43.8% | Budget Used: 3720.00/4000.0
Ep    8 | Phase: ANTAGON | Ticks: 788 | Protag R: -8994.00 | Antag R: 8623.00 | Delivery:  51.1% | Budget Used: 3720.00/4000.0
Ep    9 | Phase: ANTAGON | Ticks: 784 | Protag R: -8754.00 | Antag R: 8382.00 | Delivery:  51.0% | Budget Used: 3720.00/4000.0
Ep   10 | Phase: ANTAGON | Ticks: 777 | Protag R: -8876.00 | Antag R: 8504.00 | Delivery:  52.0% | Budget Used: 3720.00/4000.0
Ep   11 | Phase: ANTAGON | Ticks: 776 | Protag R: -10551.00 | Antag R: 10180.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep   12 | Phase: ANTAGON | Ticks: 797 | Protag R: -8502.00 | Antag R: 8131.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep   13 | Phase: ANTAGON | Ticks: 798 | Protag R: -2945.00 | Antag R: 2574.00 | Delivery:  76.3% | Budget Used: 3720.00/4000.0
Ep   14 | Phase: ANTAGON | Ticks: 787 | Protag R: -10867.00 | Antag R: 10495.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep   15 | Phase: ANTAGON | Ticks: 791 | Protag R: -9380.00 | Antag R: 9009.00 | Delivery:  54.3% | Budget Used: 3720.00/4000.0
