Seeded run: seed=0
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Dynassign: forcing --preseed-buffer False (no ERB for the dynamic rung yet).
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen02_dynassign/dynassign_seed1/snapshots/protagonist_ep250.pt (node_in_dim=11).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen03_robustness_dynassign/br_sacred_s1_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep   37 | Phase: ANTAGON | Ticks: 793 | Protag R: -8228.00 | Antag R: 7856.00 | Delivery:  63.0% | Budget Used: 3720.00/4000.0
Ep   38 | Phase: ANTAGON | Ticks: 779 | Protag R: -11874.00 | Antag R: 11503.00 | Delivery:  46.7% | Budget Used: 3720.00/4000.0
Ep   39 | Phase: ANTAGON | Ticks: 784 | Protag R: -12733.00 | Antag R: 12362.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep   40 | Phase: ANTAGON | Ticks: 780 | Protag R: -6653.00 | Antag R: 6282.00 | Delivery:  63.8% | Budget Used: 3720.00/4000.0
Ep   41 | Phase: ANTAGON | Ticks: 781 | Protag R: -7650.00 | Antag R: 7279.00 | Delivery:  53.5% | Budget Used: 3720.00/4000.0
Ep   42 | Phase: ANTAGON | Ticks: 797 | Protag R: -11921.00 | Antag R: 11550.00 | Delivery:  52.9% | Budget Used: 3720.00/4000.0
Ep   43 | Phase: ANTAGON | Ticks: 780 | Protag R: -4834.00 | Antag R: 4463.00 | Delivery:  65.7% | Budget Used: 3720.00/4000.0
Ep   44 | Phase: ANTAGON | Ticks: 797 | Protag R: -8345.00 | Antag R: 7974.00 | Delivery:  60.4% | Budget Used: 3720.00/4000.0
Ep   45 | Phase: ANTAGON | Ticks: 779 | Protag R: -9152.00 | Antag R: 8781.00 | Delivery:  57.8% | Budget Used: 3720.00/4000.0
Ep   46 | Phase: ANTAGON | Ticks: 799 | Protag R: -10746.00 | Antag R: 10376.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep   47 | Phase: ANTAGON | Ticks: 798 | Protag R: -5778.00 | Antag R: 5407.00 | Delivery:  70.5% | Budget Used: 3720.00/4000.0
Ep   48 | Phase: ANTAGON | Ticks: 787 | Protag R: -11734.00 | Antag R: 11363.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep   49 | Phase: ANTAGON | Ticks: 780 | Protag R: -10010.00 | Antag R: 9639.00 | Delivery:  49.0% | Budget Used: 3720.00/4000.0
Ep   50 | Phase: ANTAGON | Ticks: 779 | Protag R: -12013.00 | Antag R: 11642.00 | Delivery:  38.6% | Budget Used: 3720.00/4000.0
Saving checkpoints for both agents before phase switch...
Ep   51 | Phase: ANTAGON | Ticks: 797 | Protag R: -11767.00 | Antag R: 11396.00 | Delivery:  49.0% | Budget Used: 3720.00/4000.0
Ep   52 | Phase: ANTAGON | Ticks: 791 | Protag R: -14035.00 | Antag R: 13664.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep   53 | Phase: ANTAGON | Ticks: 791 | Protag R: -10329.00 | Antag R: 9958.00 | Delivery:  52.8% | Budget Used: 3720.00/4000.0
Ep   54 | Phase: ANTAGON | Ticks: 779 | Protag R: -12662.00 | Antag R: 12291.00 | Delivery:  52.6% | Budget Used: 3720.00/4000.0
Ep   55 | Phase: ANTAGON | Ticks: 782 | Protag R: -7301.00 | Antag R: 6929.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep   56 | Phase: ANTAGON | Ticks: 792 | Protag R: -9581.00 | Antag R: 9210.00 | Delivery:  54.3% | Budget Used: 3720.00/4000.0
Ep   57 | Phase: ANTAGON | Ticks: 790 | Protag R: -7114.00 | Antag R: 6743.00 | Delivery:  61.7% | Budget Used: 3720.00/4000.0
Ep   58 | Phase: ANTAGON | Ticks: 791 | Protag R: -8316.00 | Antag R: 7944.00 | Delivery:  61.7% | Budget Used: 3720.00/4000.0
Ep   59 | Phase: ANTAGON | Ticks: 792 | Protag R: -5864.00 | Antag R: 5493.00 | Delivery:  65.9% | Budget Used: 3720.00/4000.0
