Seeded run: seed=2
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen03_robustness_dynassign/vanilla_seed2
Starting SACRED training (mode=vanilla) for 800 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training PROTAGONIST

Ep   39 | Phase: PROTAGO | Ticks: 782 | Protag R: -5797.00 | Antag R: 5798.00 | Delivery:  62.0% | Budget Used:  0.00/4000.0
Ep   40 | Phase: PROTAGO | Ticks: 791 | Protag R: -13036.00 | Antag R: 13036.00 | Delivery:  52.5% | Budget Used:  0.00/4000.0
Ep   41 | Phase: PROTAGO | Ticks: 796 | Protag R: -8794.00 | Antag R: 8794.00 | Delivery:  60.8% | Budget Used:  0.00/4000.0
Ep   42 | Phase: PROTAGO | Ticks: 786 | Protag R: -10625.00 | Antag R: 10626.00 | Delivery:  59.3% | Budget Used:  0.00/4000.0
Ep   43 | Phase: PROTAGO | Ticks: 794 | Protag R: -9523.00 | Antag R: 9524.00 | Delivery:  60.8% | Budget Used:  0.00/4000.0
Ep   44 | Phase: PROTAGO | Ticks: 790 | Protag R: -9426.00 | Antag R: 9426.00 | Delivery:  59.6% | Budget Used:  0.00/4000.0
Ep   45 | Phase: PROTAGO | Ticks: 790 | Protag R: -12578.00 | Antag R: 12580.00 | Delivery:  50.8% | Budget Used:  0.00/4000.0
Ep   46 | Phase: PROTAGO | Ticks: 797 | Protag R: -9907.00 | Antag R: 9908.00 | Delivery:  55.2% | Budget Used:  0.00/4000.0
Ep   47 | Phase: PROTAGO | Ticks: 798 | Protag R: -3893.00 | Antag R: 3894.00 | Delivery:  82.9% | Budget Used:  0.00/4000.0
Ep   48 | Phase: PROTAGO | Ticks: 784 | Protag R: -11668.00 | Antag R: 11669.00 | Delivery:  51.6% | Budget Used:  0.00/4000.0
Ep   49 | Phase: PROTAGO | Ticks: 790 | Protag R: -10726.00 | Antag R: 10727.00 | Delivery:  56.9% | Budget Used:  0.00/4000.0
Ep   50 | Phase: PROTAGO | Ticks: 798 | Protag R: -9915.00 | Antag R: 9916.00 | Delivery:  64.7% | Budget Used:  0.00/4000.0
  [EVAL ep 50] greedy_atk=5366 learned_atk=5711 gap=+345 +/-246 (neg = learned beats greedy under attack)
Saving checkpoints for both agents before phase switch...
Ep   51 | Phase: PROTAGO | Ticks: 798 | Protag R: -5217.00 | Antag R: 5217.00 | Delivery:  70.5% | Budget Used:  0.00/4000.0
Ep   52 | Phase: PROTAGO | Ticks: 798 | Protag R: -8649.00 | Antag R: 8650.00 | Delivery:  55.0% | Budget Used:  0.00/4000.0
Ep   53 | Phase: PROTAGO | Ticks: 797 | Protag R: -6647.00 | Antag R: 6648.00 | Delivery:  64.6% | Budget Used:  0.00/4000.0
Ep   54 | Phase: PROTAGO | Ticks: 799 | Protag R: -5602.00 | Antag R: 5603.00 | Delivery:  68.1% | Budget Used:  0.00/4000.0
Ep   55 | Phase: PROTAGO | Ticks: 798 | Protag R: -6876.00 | Antag R: 6876.00 | Delivery:  62.0% | Budget Used:  0.00/4000.0
Ep   56 | Phase: PROTAGO | Ticks: 795 | Protag R: -3992.00 | Antag R: 3993.00 | Delivery:  76.2% | Budget Used:  0.00/4000.0
Ep   57 | Phase: PROTAGO | Ticks: 780 | Protag R: -6122.00 | Antag R: 6123.00 | Delivery:  64.7% | Budget Used:  0.00/4000.0
Ep   58 | Phase: PROTAGO | Ticks: 795 | Protag R: -1793.00 | Antag R: 1794.00 | Delivery:  81.1% | Budget Used:  0.00/4000.0
Ep   59 | Phase: PROTAGO | Ticks: 796 | Protag R: -2297.00 | Antag R: 2298.00 | Delivery:  88.6% | Budget Used:  0.00/4000.0
Ep   60 | Phase: PROTAGO | Ticks: 795 | Protag R: -8996.00 | Antag R: 8997.00 | Delivery:  59.6% | Budget Used:  0.00/4000.0
Ep   61 | Phase: PROTAGO | Ticks: 789 | Protag R: -5493.00 | Antag R: 5493.00 | Delivery:  69.8% | Budget Used:  0.00/4000.0
Ep   62 | Phase: PROTAGO | Ticks: 799 | Protag R: -8918.00 | Antag R: 8920.00 | Delivery:  56.4% | Budget Used:  0.00/4000.0
Ep   63 | Phase: PROTAGO | Ticks: 793 | Protag R: -8155.00 | Antag R: 8156.00 | Delivery:  58.5% | Budget Used:  0.00/4000.0
Ep   64 | Phase: PROTAGO | Ticks: 789 | Protag R: -4197.00 | Antag R: 4198.00 | Delivery:  82.1% | Budget Used:  0.00/4000.0
Ep   65 | Phase: PROTAGO | Ticks: 796 | Protag R: -5042.00 | Antag R: 5043.00 | Delivery:  69.6% | Budget Used:  0.00/4000.0
Ep   66 | Phase: PROTAGO | Ticks: 796 | Protag R: -4029.00 | Antag R: 4030.00 | Delivery:  74.4% | Budget Used:  0.00/4000.0
Ep   67 | Phase: PROTAGO | Ticks: 796 | Protag R: -5442.00 | Antag R: 5443.00 | Delivery:  69.6% | Budget Used:  0.00/4000.0
Ep   68 | Phase: PROTAGO | Ticks: 794 | Protag R: -10477.00 | Antag R: 10478.00 | Delivery:  60.4% | Budget Used:  0.00/4000.0
Ep   69 | Phase: PROTAGO | Ticks: 799 | Protag R: -3939.00 | Antag R: 3940.00 | Delivery:  71.4% | Budget Used:  0.00/4000.0
Ep   70 | Phase: PROTAGO | Ticks: 796 | Protag R: -5469.00 | Antag R: 5470.00 | Delivery:  62.7% | Budget Used:  0.00/4000.0
Ep   71 | Phase: PROTAGO | Ticks: 788 | Protag R: -7016.00 | Antag R: 7017.00 | Delivery:  72.1% | Budget Used:  0.00/4000.0
Ep   72 | Phase: PROTAGO | Ticks: 784 | Protag R: -9903.00 | Antag R: 9904.00 | Delivery:  59.6% | Budget Used:  0.00/4000.0
Ep   73 | Phase: PROTAGO | Ticks: 798 | Protag R: -8386.00 | Antag R: 8387.00 | Delivery:  57.4% | Budget Used:  0.00/4000.0
Ep   74 | Phase: PROTAGO | Ticks: 783 | Protag R: -9520.00 | Antag R: 9521.00 | Delivery:  52.7% | Budget Used:  0.00/4000.0
Ep   75 | Phase: PROTAGO | Ticks: 799 | Protag R: -7450.00 | Antag R: 7451.00 | Delivery:  66.0% | Budget Used:  0.00/4000.0
Ep   76 | Phase: PROTAGO | Ticks: 795 | Protag R: -5346.00 | Antag R: 5347.00 | Delivery:  64.6% | Budget Used:  0.00/4000.0
Ep   77 | Phase: PROTAGO | Ticks: 782 | Protag R: -3082.00 | Antag R: 3084.00 | Delivery:  81.1% | Budget Used:  0.00/4000.0
Ep   78 | Phase: PROTAGO | Ticks: 799 | Protag R: -2502.00 | Antag R: 2503.00 | Delivery:  78.1% | Budget Used:  0.00/4000.0
Ep   79 | Phase: PROTAGO | Ticks: 799 | Protag R: -5723.00 | Antag R: 5724.00 | Delivery:  68.9% | Budget Used:  0.00/4000.0
Ep   80 | Phase: PROTAGO | Ticks: 789 | Protag R: -4354.00 | Antag R: 4355.00 | Delivery:  76.2% | Budget Used:  0.00/4000.0
Ep   81 | Phase: PROTAGO | Ticks: 796 | Protag R: -12028.00 | Antag R: 12029.00 | Delivery:  53.3% | Budget Used:  0.00/4000.0
Ep   82 | Phase: PROTAGO | Ticks: 794 | Protag R: -8252.00 | Antag R: 8253.00 | Delivery:  76.2% | Budget Used:  0.00/4000.0
Ep   83 | Phase: PROTAGO | Ticks: 796 | Protag R: -9093.00 | Antag R: 9094.00 | Delivery:  63.3% | Budget Used:  0.00/4000.0
Ep   84 | Phase: PROTAGO | Ticks: 782 | Protag R: -6235.00 | Antag R: 6235.00 | Delivery:  71.4% | Budget Used:  0.00/4000.0
Ep   85 | Phase: PROTAGO | Ticks: 791 | Protag R: -5638.00 | Antag R: 5639.00 | Delivery:  72.7% | Budget Used:  0.00/4000.0
Ep   86 | Phase: PROTAGO | Ticks: 789 | Protag R: -7669.00 | Antag R: 7670.00 | Delivery:  60.4% | Budget Used:  0.00/4000.0
Ep   87 | Phase: PROTAGO | Ticks: 783 | Protag R: -8446.00 | Antag R: 8447.00 | Delivery:  68.9% | Budget Used:  0.00/4000.0
Ep   88 | Phase: PROTAGO | Ticks: 792 | Protag R: -3133.00 | Antag R: 3134.00 | Delivery:  86.5% | Budget Used:  0.00/4000.0
Ep   89 | Phase: PROTAGO | Ticks: 790 | Protag R: -4318.00 | Antag R: 4319.00 | Delivery:  72.7% | Budget Used:  0.00/4000.0
Ep   90 | Phase: PROTAGO | Ticks: 798 | Protag R: -10306.00 | Antag R: 10307.00 | Delivery:  51.7% | Budget Used:  0.00/4000.0
Ep   91 | Phase: PROTAGO | Ticks: 792 | Protag R: -6514.00 | Antag R: 6515.00 | Delivery:  63.3% | Budget Used:  0.00/4000.0
Ep   92 | Phase: PROTAGO | Ticks: 791 | Protag R: -6964.00 | Antag R: 6965.00 | Delivery:  63.3% | Budget Used:  0.00/4000.0
Ep   93 | Phase: PROTAGO | Ticks: 790 | Protag R: -4844.00 | Antag R: 4844.00 | Delivery:  65.2% | Budget Used:  0.00/4000.0
Ep   94 | Phase: PROTAGO | Ticks: 783 | Protag R: -7312.00 | Antag R: 7313.00 | Delivery:  68.8% | Budget Used:  0.00/4000.0
Ep   95 | Phase: PROTAGO | Ticks: 791 | Protag R: -4616.00 | Antag R: 4617.00 | Delivery:  72.1% | Budget Used:  0.00/4000.0
