Seeded run: seed=0
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen03_robustness_dynassign/vanilla_seed0
Starting SACRED training (mode=vanilla) for 800 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training PROTAGONIST

Ep    1 | Phase: PROTAGO | Ticks: 798 | Protag R: -7129.00 | Antag R: 7130.00 | Delivery:  68.1% | Budget Used:  0.00/4000.0
Ep    2 | Phase: PROTAGO | Ticks: 799 | Protag R: -7396.00 | Antag R: 7397.00 | Delivery:  68.1% | Budget Used:  0.00/4000.0
Ep    3 | Phase: PROTAGO | Ticks: 798 | Protag R: -8536.00 | Antag R: 8537.00 | Delivery:  69.6% | Budget Used:  0.00/4000.0
Ep    4 | Phase: PROTAGO | Ticks: 789 | Protag R: -6979.00 | Antag R: 6980.00 | Delivery:  69.8% | Budget Used:  0.00/4000.0
Ep    5 | Phase: PROTAGO | Ticks: 784 | Protag R: -6039.00 | Antag R: 6039.00 | Delivery:  56.2% | Budget Used:  0.00/4000.0
Ep    6 | Phase: PROTAGO | Ticks: 796 | Protag R: -7129.00 | Antag R: 7130.00 | Delivery:  64.0% | Budget Used:  0.00/4000.0
Ep    7 | Phase: PROTAGO | Ticks: 796 | Protag R: -5787.00 | Antag R: 5788.00 | Delivery:  66.7% | Budget Used:  0.00/4000.0
Ep    8 | Phase: PROTAGO | Ticks: 793 | Protag R: -6211.00 | Antag R: 6212.00 | Delivery:  66.0% | Budget Used:  0.00/4000.0
Ep    9 | Phase: PROTAGO | Ticks: 795 | Protag R: -7716.00 | Antag R: 7716.00 | Delivery:  63.3% | Budget Used:  0.00/4000.0
Ep   10 | Phase: PROTAGO | Ticks: 797 | Protag R: -7598.00 | Antag R: 7598.00 | Delivery:  60.0% | Budget Used:  0.00/4000.0
Ep   11 | Phase: PROTAGO | Ticks: 797 | Protag R: -7202.00 | Antag R: 7203.00 | Delivery:  69.6% | Budget Used:  0.00/4000.0
Ep   12 | Phase: PROTAGO | Ticks: 778 | Protag R: -6841.00 | Antag R: 6842.00 | Delivery:  69.6% | Budget Used:  0.00/4000.0
