Seeded run: seed=0
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Dynassign: forcing --preseed-buffer False (no ERB for the dynamic rung yet).
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen03_robustness_dynassign/vanilla_seed0/snapshots/protagonist_ep450.pt (node_in_dim=13).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen03_robustness_dynassign/br_vanilla_s0_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep    1 | Phase: ANTAGON | Ticks: 790 | Protag R: -8985.00 | Antag R: 8614.00 | Delivery:  51.1% | Budget Used: 3720.00/4000.0
Ep    2 | Phase: ANTAGON | Ticks: 779 | Protag R: -8534.00 | Antag R: 8163.00 | Delivery:  57.4% | Budget Used: 3720.00/4000.0
Ep    3 | Phase: ANTAGON | Ticks: 790 | Protag R: -9428.00 | Antag R: 9069.00 | Delivery:  65.2% | Budget Used: 3600.00/4000.0
Ep    4 | Phase: ANTAGON | Ticks: 789 | Protag R: -10495.00 | Antag R: 10124.00 | Delivery:  53.5% | Budget Used: 3720.00/4000.0
Ep    5 | Phase: ANTAGON | Ticks: 790 | Protag R: -7017.00 | Antag R: 6645.00 | Delivery:  45.8% | Budget Used: 3720.00/4000.0
Ep    6 | Phase: ANTAGON | Ticks: 796 | Protag R: -9320.00 | Antag R: 8949.00 | Delivery:  52.0% | Budget Used: 3720.00/4000.0
Ep    7 | Phase: ANTAGON | Ticks: 798 | Protag R: -6083.00 | Antag R: 5712.00 | Delivery:  60.4% | Budget Used: 3720.00/4000.0
Ep    8 | Phase: ANTAGON | Ticks: 783 | Protag R: -7638.00 | Antag R: 7267.00 | Delivery:  53.2% | Budget Used: 3720.00/4000.0
Ep    9 | Phase: ANTAGON | Ticks: 795 | Protag R: -12050.00 | Antag R: 11678.00 | Delivery:  40.8% | Budget Used: 3720.00/4000.0
Ep   10 | Phase: ANTAGON | Ticks: 795 | Protag R: -10203.00 | Antag R: 9831.00 | Delivery:  44.0% | Budget Used: 3720.00/4000.0
Ep   11 | Phase: ANTAGON | Ticks: 793 | Protag R: -8794.00 | Antag R: 8423.00 | Delivery:  60.9% | Budget Used: 3720.00/4000.0
