Seeded run: seed=1
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen03_robustness_dynassign/vanilla_seed1
Starting SACRED training (mode=vanilla) for 800 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training PROTAGONIST

Ep    1 | Phase: PROTAGO | Ticks: 785 | Protag R: -3245.00 | Antag R: 3246.00 | Delivery:  78.9% | Budget Used:  0.00/4000.0
Ep    2 | Phase: PROTAGO | Ticks: 794 | Protag R: -7434.00 | Antag R: 7435.00 | Delivery:  58.0% | Budget Used:  0.00/4000.0
Ep    3 | Phase: PROTAGO | Ticks: 797 | Protag R: -6432.00 | Antag R: 6433.00 | Delivery:  67.4% | Budget Used:  0.00/4000.0
Ep    4 | Phase: PROTAGO | Ticks: 792 | Protag R: -11253.00 | Antag R: 11254.00 | Delivery:  55.4% | Budget Used:  0.00/4000.0
Ep    5 | Phase: PROTAGO | Ticks: 797 | Protag R: -2289.00 | Antag R: 2290.00 | Delivery:  83.3% | Budget Used:  0.00/4000.0
Ep    6 | Phase: PROTAGO | Ticks: 781 | Protag R: -3006.00 | Antag R: 3007.00 | Delivery:  75.7% | Budget Used:  0.00/4000.0
Ep    7 | Phase: PROTAGO | Ticks: 790 | Protag R: -7930.00 | Antag R: 7931.00 | Delivery:  57.7% | Budget Used:  0.00/4000.0
Ep    8 | Phase: PROTAGO | Ticks: 790 | Protag R: -5116.00 | Antag R: 5117.00 | Delivery:  72.7% | Budget Used:  0.00/4000.0
Ep    9 | Phase: PROTAGO | Ticks: 798 | Protag R: -7624.00 | Antag R: 7625.00 | Delivery:  64.7% | Budget Used:  0.00/4000.0
Ep   10 | Phase: PROTAGO | Ticks: 789 | Protag R: -8354.00 | Antag R: 8355.00 | Delivery:  61.5% | Budget Used:  0.00/4000.0
Ep   11 | Phase: PROTAGO | Ticks: 790 | Protag R: -5549.00 | Antag R: 5549.00 | Delivery:  70.5% | Budget Used:  0.00/4000.0
Ep   12 | Phase: PROTAGO | Ticks: 784 | Protag R: -10256.00 | Antag R: 10257.00 | Delivery:  54.2% | Budget Used:  0.00/4000.0
Ep   13 | Phase: PROTAGO | Ticks: 793 | Protag R: -6130.00 | Antag R: 6130.00 | Delivery:  65.2% | Budget Used:  0.00/4000.0
Ep   14 | Phase: PROTAGO | Ticks: 790 | Protag R: -5105.00 | Antag R: 5105.00 | Delivery:  71.4% | Budget Used:  0.00/4000.0
