Seeded run: seed=0
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Dynassign: forcing --preseed-buffer False (no ERB for the dynamic rung yet).
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen03_robustness_dynassign/vanilla_seed1/snapshots/protagonist_ep700.pt (node_in_dim=13).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen03_robustness_dynassign/br_vanilla_s1_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep   37 | Phase: ANTAGON | Ticks: 794 | Protag R: -8007.00 | Antag R: 7635.00 | Delivery:  63.0% | Budget Used: 3720.00/4000.0
Ep   38 | Phase: ANTAGON | Ticks: 794 | Protag R: -12445.00 | Antag R: 12074.00 | Delivery:  48.3% | Budget Used: 3720.00/4000.0
Ep   39 | Phase: ANTAGON | Ticks: 799 | Protag R: -13383.00 | Antag R: 13012.00 | Delivery:  46.7% | Budget Used: 3720.00/4000.0
Ep   40 | Phase: ANTAGON | Ticks: 784 | Protag R: -6627.00 | Antag R: 6268.00 | Delivery:  61.7% | Budget Used: 3600.00/4000.0
Ep   41 | Phase: ANTAGON | Ticks: 790 | Protag R: -7922.00 | Antag R: 7551.00 | Delivery:  48.8% | Budget Used: 3720.00/4000.0
Ep   42 | Phase: ANTAGON | Ticks: 777 | Protag R: -11058.00 | Antag R: 10687.00 | Delivery:  52.9% | Budget Used: 3720.00/4000.0
Ep   43 | Phase: ANTAGON | Ticks: 793 | Protag R: -4175.00 | Antag R: 3804.00 | Delivery:  74.3% | Budget Used: 3720.00/4000.0
Ep   44 | Phase: ANTAGON | Ticks: 798 | Protag R: -11035.00 | Antag R: 10664.00 | Delivery:  47.9% | Budget Used: 3720.00/4000.0
Ep   45 | Phase: ANTAGON | Ticks: 798 | Protag R: -8868.00 | Antag R: 8497.00 | Delivery:  57.8% | Budget Used: 3720.00/4000.0
Ep   46 | Phase: ANTAGON | Ticks: 796 | Protag R: -11730.00 | Antag R: 11360.00 | Delivery:  43.3% | Budget Used: 3720.00/4000.0
