Seeded run: seed=0
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Dynassign: forcing --preseed-buffer False (no ERB for the dynamic rung yet).
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen03_robustness_dynassign/vanilla_seed2/snapshots/protagonist_ep600.pt (node_in_dim=13).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen03_robustness_dynassign/br_vanilla_s2_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep    1 | Phase: ANTAGON | Ticks: 788 | Protag R: -8393.00 | Antag R: 8034.00 | Delivery:  53.2% | Budget Used: 3600.00/4000.0
Ep    2 | Phase: ANTAGON | Ticks: 796 | Protag R: -7715.00 | Antag R: 7356.00 | Delivery:  61.7% | Budget Used: 3600.00/4000.0
Ep    3 | Phase: ANTAGON | Ticks: 784 | Protag R: -11821.00 | Antag R: 11450.00 | Delivery:  47.8% | Budget Used: 3720.00/4000.0
Ep    4 | Phase: ANTAGON | Ticks: 797 | Protag R: -9536.00 | Antag R: 9165.00 | Delivery:  58.1% | Budget Used: 3720.00/4000.0
Ep    5 | Phase: ANTAGON | Ticks: 799 | Protag R: -7163.00 | Antag R: 6803.00 | Delivery:  54.2% | Budget Used: 3600.00/4000.0
Ep    6 | Phase: ANTAGON | Ticks: 796 | Protag R: -9182.00 | Antag R: 8811.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep    7 | Phase: ANTAGON | Ticks: 797 | Protag R: -5947.00 | Antag R: 5576.00 | Delivery:  64.6% | Budget Used: 3720.00/4000.0
Ep    8 | Phase: ANTAGON | Ticks: 785 | Protag R: -8235.00 | Antag R: 7864.00 | Delivery:  55.3% | Budget Used: 3720.00/4000.0
Ep    9 | Phase: ANTAGON | Ticks: 799 | Protag R: -8145.00 | Antag R: 7773.00 | Delivery:  57.1% | Budget Used: 3720.00/4000.0
Ep   10 | Phase: ANTAGON | Ticks: 789 | Protag R: -10255.00 | Antag R: 9883.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep   11 | Phase: ANTAGON | Ticks: 779 | Protag R: -9682.00 | Antag R: 9311.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep   12 | Phase: ANTAGON | Ticks: 781 | Protag R: -7188.00 | Antag R: 6817.00 | Delivery:  65.2% | Budget Used: 3720.00/4000.0
Ep   13 | Phase: ANTAGON | Ticks: 796 | Protag R: -5034.00 | Antag R: 4675.00 | Delivery:  65.8% | Budget Used: 3600.00/4000.0
Ep   14 | Phase: ANTAGON | Ticks: 784 | Protag R: -12511.00 | Antag R: 12139.00 | Delivery:  46.3% | Budget Used: 3720.00/4000.0
Ep   15 | Phase: ANTAGON | Ticks: 787 | Protag R: -8075.00 | Antag R: 7704.00 | Delivery:  60.9% | Budget Used: 3720.00/4000.0
Ep   16 | Phase: ANTAGON | Ticks: 796 | Protag R: -5368.00 | Antag R: 4997.00 | Delivery:  61.0% | Budget Used: 3720.00/4000.0
Ep   17 | Phase: ANTAGON | Ticks: 793 | Protag R: -6197.00 | Antag R: 5825.00 | Delivery:  66.7% | Budget Used: 3720.00/4000.0
