Seeded run: seed=1
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen06_dynassign_matrix/dynassign_scripted_seed1
Scripted adversary: pathrand
Starting SACRED training (mode=scripted_adversary) for 800 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training PROTAGONIST

Ep   38 | Phase: PROTAGO | Ticks: 791 | Protag R: -13368.00 | Antag R: 12997.00 | Delivery:  24.4% | Budget Used: 3720.00/4000.0
Ep   39 | Phase: PROTAGO | Ticks: 775 | Protag R: -20095.00 | Antag R: 19724.00 | Delivery:  19.6% | Budget Used: 3720.00/4000.0
Ep   40 | Phase: PROTAGO | Ticks: 786 | Protag R: -12614.00 | Antag R: 12243.00 | Delivery:  18.6% | Budget Used: 3720.00/4000.0
Ep   41 | Phase: PROTAGO | Ticks: 796 | Protag R: -19244.00 | Antag R: 18873.00 | Delivery:  23.2% | Budget Used: 3720.00/4000.0
Ep   42 | Phase: PROTAGO | Ticks: 789 | Protag R: -17505.00 | Antag R: 17134.00 | Delivery:  28.3% | Budget Used: 3720.00/4000.0
Ep   43 | Phase: PROTAGO | Ticks: 775 | Protag R: -16196.00 | Antag R: 15825.00 | Delivery:  20.8% | Budget Used: 3720.00/4000.0
Ep   44 | Phase: PROTAGO | Ticks: 799 | Protag R: -16397.00 | Antag R: 16026.00 | Delivery:  17.8% | Budget Used: 3720.00/4000.0
Ep   45 | Phase: PROTAGO | Ticks: 795 | Protag R: -13901.00 | Antag R: 13530.00 | Delivery:  18.4% | Budget Used: 3720.00/4000.0
Ep   46 | Phase: PROTAGO | Ticks: 788 | Protag R: -11269.00 | Antag R: 10898.00 | Delivery:  22.5% | Budget Used: 3720.00/4000.0
Ep   47 | Phase: PROTAGO | Ticks: 798 | Protag R: -16220.00 | Antag R: 15848.00 | Delivery:  14.9% | Budget Used: 3720.00/4000.0
Ep   48 | Phase: PROTAGO | Ticks: 786 | Protag R: -13733.00 | Antag R: 13362.00 | Delivery:  29.2% | Budget Used: 3720.00/4000.0
Ep   49 | Phase: PROTAGO | Ticks: 798 | Protag R: -15584.00 | Antag R: 15213.00 | Delivery:  22.4% | Budget Used: 3720.00/4000.0
Ep   50 | Phase: PROTAGO | Ticks: 790 | Protag R: -9953.00 | Antag R: 9581.00 | Delivery:  31.7% | Budget Used: 3720.00/4000.0
