Seeded run: seed=2
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen06_dynassign_matrix/vanilla_seed2
Starting SACRED training (mode=vanilla) for 800 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training PROTAGONIST

Ep    1 | Phase: PROTAGO | Ticks: 791 | Protag R: -3201.00 | Antag R: 3202.00 | Delivery:  76.2% | Budget Used:  0.00/4000.0
Ep    2 | Phase: PROTAGO | Ticks: 799 | Protag R: -9121.00 | Antag R: 9122.00 | Delivery:  63.3% | Budget Used:  0.00/4000.0
Ep    3 | Phase: PROTAGO | Ticks: 788 | Protag R: -7751.00 | Antag R: 7752.00 | Delivery:  55.6% | Budget Used:  0.00/4000.0
Ep    4 | Phase: PROTAGO | Ticks: 784 | Protag R: -8263.00 | Antag R: 8263.00 | Delivery:  55.6% | Budget Used:  0.00/4000.0
Ep    5 | Phase: PROTAGO | Ticks: 789 | Protag R: -7745.00 | Antag R: 7746.00 | Delivery:  60.8% | Budget Used:  0.00/4000.0
Ep    6 | Phase: PROTAGO | Ticks: 792 | Protag R: -2404.00 | Antag R: 2404.00 | Delivery:  85.3% | Budget Used:  0.00/4000.0
Ep    7 | Phase: PROTAGO | Ticks: 796 | Protag R: -10205.00 | Antag R: 10206.00 | Delivery:  61.5% | Budget Used:  0.00/4000.0
Ep    8 | Phase: PROTAGO | Ticks: 793 | Protag R: -7054.00 | Antag R: 7054.00 | Delivery:  50.0% | Budget Used:  0.00/4000.0
Ep    9 | Phase: PROTAGO | Ticks: 783 | Protag R: -3727.00 | Antag R: 3727.00 | Delivery:  79.5% | Budget Used:  0.00/4000.0
Ep   10 | Phase: PROTAGO | Ticks: 798 | Protag R: -6084.00 | Antag R: 6085.00 | Delivery:  76.2% | Budget Used:  0.00/4000.0
Ep   11 | Phase: PROTAGO | Ticks: 796 | Protag R: -8358.00 | Antag R: 8359.00 | Delivery:  58.8% | Budget Used:  0.00/4000.0
Ep   12 | Phase: PROTAGO | Ticks: 799 | Protag R: -11797.00 | Antag R: 11798.00 | Delivery:  47.0% | Budget Used:  0.00/4000.0
Ep   13 | Phase: PROTAGO | Ticks: 784 | Protag R: -3046.00 | Antag R: 3047.00 | Delivery:  79.5% | Budget Used:  0.00/4000.0
Ep   14 | Phase: PROTAGO | Ticks: 778 | Protag R: -8946.00 | Antag R: 8947.00 | Delivery:  58.2% | Budget Used:  0.00/4000.0
Ep   15 | Phase: PROTAGO | Ticks: 792 | Protag R: -6588.00 | Antag R: 6589.00 | Delivery:  63.3% | Budget Used:  0.00/4000.0
Ep   16 | Phase: PROTAGO | Ticks: 797 | Protag R: -5393.00 | Antag R: 5394.00 | Delivery:  80.0% | Budget Used:  0.00/4000.0
Ep   17 | Phase: PROTAGO | Ticks: 795 | Protag R: -9884.00 | Antag R: 9884.00 | Delivery:  55.6% | Budget Used:  0.00/4000.0
Ep   18 | Phase: PROTAGO | Ticks: 794 | Protag R: -4773.00 | Antag R: 4774.00 | Delivery:  82.1% | Budget Used:  0.00/4000.0
Ep   19 | Phase: PROTAGO | Ticks: 788 | Protag R: -11326.00 | Antag R: 11326.00 | Delivery:  47.0% | Budget Used:  0.00/4000.0
Ep   20 | Phase: PROTAGO | Ticks: 793 | Protag R: -9828.00 | Antag R: 9829.00 | Delivery:  66.0% | Budget Used:  0.00/4000.0
Ep   21 | Phase: PROTAGO | Ticks: 784 | Protag R: -3589.00 | Antag R: 3589.00 | Delivery:  76.9% | Budget Used:  0.00/4000.0
Ep   22 | Phase: PROTAGO | Ticks: 798 | Protag R: -6728.00 | Antag R: 6729.00 | Delivery:  65.3% | Budget Used:  0.00/4000.0
Ep   23 | Phase: PROTAGO | Ticks: 796 | Protag R: -9928.00 | Antag R: 9928.00 | Delivery:  57.7% | Budget Used:  0.00/4000.0
Ep   24 | Phase: PROTAGO | Ticks: 786 | Protag R: -8763.00 | Antag R: 8763.00 | Delivery:  49.2% | Budget Used:  0.00/4000.0
Ep   25 | Phase: PROTAGO | Ticks: 786 | Protag R: -3435.00 | Antag R: 3436.00 | Delivery:  75.6% | Budget Used:  0.00/4000.0
Ep   26 | Phase: PROTAGO | Ticks: 799 | Protag R: -6160.00 | Antag R: 6161.00 | Delivery:  58.2% | Budget Used:  0.00/4000.0
Ep   27 | Phase: PROTAGO | Ticks: 786 | Protag R: -3670.00 | Antag R: 3671.00 | Delivery:  73.2% | Budget Used:  0.00/4000.0
