Seeded run: seed=2
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen06_dynassign_matrix/dynassign_scripted_seed2
Scripted adversary: pathrand
Starting SACRED training (mode=scripted_adversary) for 800 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training PROTAGONIST

Ep    1 | Phase: PROTAGO | Ticks: 798 | Protag R: -7887.00 | Antag R: 7516.00 | Delivery:  42.9% | Budget Used: 3720.00/4000.0
Ep    2 | Phase: PROTAGO | Ticks: 795 | Protag R: -14342.00 | Antag R: 13971.00 | Delivery:  34.7% | Budget Used: 3720.00/4000.0
Ep    3 | Phase: PROTAGO | Ticks: 786 | Protag R: -14083.00 | Antag R: 13712.00 | Delivery:  25.9% | Budget Used: 3720.00/4000.0
Ep    4 | Phase: PROTAGO | Ticks: 783 | Protag R: -12735.00 | Antag R: 12363.00 | Delivery:  31.5% | Budget Used: 3720.00/4000.0
Ep    5 | Phase: PROTAGO | Ticks: 795 | Protag R: -13683.00 | Antag R: 13312.00 | Delivery:  31.4% | Budget Used: 3720.00/4000.0
Ep    6 | Phase: PROTAGO | Ticks: 776 | Protag R: -7358.00 | Antag R: 6986.00 | Delivery:  44.1% | Budget Used: 3720.00/4000.0
Ep    7 | Phase: PROTAGO | Ticks: 775 | Protag R: -15400.00 | Antag R: 15029.00 | Delivery:  28.8% | Budget Used: 3720.00/4000.0
Ep    8 | Phase: PROTAGO | Ticks: 797 | Protag R: -10696.00 | Antag R: 10324.00 | Delivery:  22.0% | Budget Used: 3720.00/4000.0
Ep    9 | Phase: PROTAGO | Ticks: 799 | Protag R: -8699.00 | Antag R: 8327.00 | Delivery:  41.0% | Budget Used: 3720.00/4000.0
Ep   10 | Phase: PROTAGO | Ticks: 796 | Protag R: -12509.00 | Antag R: 12138.00 | Delivery:  38.1% | Budget Used: 3720.00/4000.0
Ep   11 | Phase: PROTAGO | Ticks: 788 | Protag R: -12789.00 | Antag R: 12418.00 | Delivery:  29.4% | Budget Used: 3720.00/4000.0
Ep   12 | Phase: PROTAGO | Ticks: 776 | Protag R: -18712.00 | Antag R: 18341.00 | Delivery:  18.2% | Budget Used: 3720.00/4000.0
Ep   13 | Phase: PROTAGO | Ticks: 785 | Protag R: -6720.00 | Antag R: 6349.00 | Delivery:  48.7% | Budget Used: 3720.00/4000.0
Ep   14 | Phase: PROTAGO | Ticks: 776 | Protag R: -15994.00 | Antag R: 15623.00 | Delivery:  25.5% | Budget Used: 3720.00/4000.0
Ep   15 | Phase: PROTAGO | Ticks: 796 | Protag R: -11018.00 | Antag R: 10647.00 | Delivery:  32.7% | Budget Used: 3720.00/4000.0
Ep   16 | Phase: PROTAGO | Ticks: 775 | Protag R: -12956.00 | Antag R: 12585.00 | Delivery:  35.0% | Budget Used: 3720.00/4000.0
Ep   17 | Phase: PROTAGO | Ticks: 794 | Protag R: -17215.00 | Antag R: 16843.00 | Delivery:  22.2% | Budget Used: 3720.00/4000.0
Ep   18 | Phase: PROTAGO | Ticks: 777 | Protag R: -11344.00 | Antag R: 10973.00 | Delivery:  33.3% | Budget Used: 3720.00/4000.0
Ep   19 | Phase: PROTAGO | Ticks: 797 | Protag R: -17693.00 | Antag R: 17321.00 | Delivery:  19.7% | Budget Used: 3720.00/4000.0
Ep   20 | Phase: PROTAGO | Ticks: 798 | Protag R: -14109.00 | Antag R: 13738.00 | Delivery:  34.0% | Budget Used: 3720.00/4000.0
Ep   21 | Phase: PROTAGO | Ticks: 788 | Protag R: -8492.00 | Antag R: 8120.00 | Delivery:  41.0% | Budget Used: 3720.00/4000.0
Ep   22 | Phase: PROTAGO | Ticks: 799 | Protag R: -14988.00 | Antag R: 14617.00 | Delivery:  18.4% | Budget Used: 3720.00/4000.0
Ep   23 | Phase: PROTAGO | Ticks: 775 | Protag R: -17164.00 | Antag R: 16792.00 | Delivery:  19.2% | Budget Used: 3720.00/4000.0
Ep   24 | Phase: PROTAGO | Ticks: 780 | Protag R: -14147.00 | Antag R: 13775.00 | Delivery:  24.6% | Budget Used: 3720.00/4000.0
Ep   25 | Phase: PROTAGO | Ticks: 797 | Protag R: -12135.00 | Antag R: 11764.00 | Delivery:  19.5% | Budget Used: 3720.00/4000.0
Ep   26 | Phase: PROTAGO | Ticks: 776 | Protag R: -11187.00 | Antag R: 10816.00 | Delivery:  27.3% | Budget Used: 3720.00/4000.0
Ep   27 | Phase: PROTAGO | Ticks: 792 | Protag R: -10029.00 | Antag R: 9658.00 | Delivery:  29.3% | Budget Used: 3720.00/4000.0
Ep   28 | Phase: PROTAGO | Ticks: 776 | Protag R: -17705.00 | Antag R: 17334.00 | Delivery:  19.6% | Budget Used: 3720.00/4000.0
Ep   29 | Phase: PROTAGO | Ticks: 798 | Protag R: -8925.00 | Antag R: 8554.00 | Delivery:  44.2% | Budget Used: 3720.00/4000.0
Ep   30 | Phase: PROTAGO | Ticks: 797 | Protag R: -11522.00 | Antag R: 11151.00 | Delivery:  36.2% | Budget Used: 3720.00/4000.0
Ep   31 | Phase: PROTAGO | Ticks: 776 | Protag R: -12812.00 | Antag R: 12441.00 | Delivery:  37.8% | Budget Used: 3720.00/4000.0
Ep   32 | Phase: PROTAGO | Ticks: 798 | Protag R: -15115.00 | Antag R: 14743.00 | Delivery:  25.4% | Budget Used: 3720.00/4000.0
Ep   33 | Phase: PROTAGO | Ticks: 791 | Protag R: -8287.00 | Antag R: 7915.00 | Delivery:  37.8% | Budget Used: 3720.00/4000.0
Ep   34 | Phase: PROTAGO | Ticks: 775 | Protag R: -11762.00 | Antag R: 11391.00 | Delivery:  29.8% | Budget Used: 3720.00/4000.0
Ep   35 | Phase: PROTAGO | Ticks: 796 | Protag R: -12091.00 | Antag R: 11720.00 | Delivery:  32.6% | Budget Used: 3720.00/4000.0
Ep   36 | Phase: PROTAGO | Ticks: 795 | Protag R: -7267.00 | Antag R: 6895.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep   37 | Phase: PROTAGO | Ticks: 785 | Protag R: -11322.00 | Antag R: 10950.00 | Delivery:  31.1% | Budget Used: 3720.00/4000.0
Ep   38 | Phase: PROTAGO | Ticks: 794 | Protag R: -13410.00 | Antag R: 13040.00 | Delivery:  32.7% | Budget Used: 3720.00/4000.0
Ep   39 | Phase: PROTAGO | Ticks: 798 | Protag R: -12301.00 | Antag R: 11930.00 | Delivery:  26.0% | Budget Used: 3720.00/4000.0
Ep   40 | Phase: PROTAGO | Ticks: 798 | Protag R: -18980.00 | Antag R: 18608.00 | Delivery:  23.7% | Budget Used: 3720.00/4000.0
Ep   41 | Phase: PROTAGO | Ticks: 797 | Protag R: -13430.00 | Antag R: 13058.00 | Delivery:  33.3% | Budget Used: 3720.00/4000.0
Ep   42 | Phase: PROTAGO | Ticks: 799 | Protag R: -15626.00 | Antag R: 15255.00 | Delivery:  33.3% | Budget Used: 3720.00/4000.0
Ep   43 | Phase: PROTAGO | Ticks: 795 | Protag R: -19127.00 | Antag R: 18756.00 | Delivery:  15.7% | Budget Used: 3720.00/4000.0
Ep   44 | Phase: PROTAGO | Ticks: 798 | Protag R: -17371.00 | Antag R: 16999.00 | Delivery:  13.5% | Budget Used: 3720.00/4000.0
Ep   45 | Phase: PROTAGO | Ticks: 788 | Protag R: -20877.00 | Antag R: 20507.00 | Delivery:  19.0% | Budget Used: 3720.00/4000.0
Ep   46 | Phase: PROTAGO | Ticks: 793 | Protag R: -16441.00 | Antag R: 16070.00 | Delivery:  22.4% | Budget Used: 3720.00/4000.0
Ep   47 | Phase: PROTAGO | Ticks: 795 | Protag R: -8044.00 | Antag R: 7673.00 | Delivery:  42.9% | Budget Used: 3720.00/4000.0
Ep   48 | Phase: PROTAGO | Ticks: 776 | Protag R: -18418.00 | Antag R: 18047.00 | Delivery:  21.0% | Budget Used: 3720.00/4000.0
Ep   49 | Phase: PROTAGO | Ticks: 786 | Protag R: -16102.00 | Antag R: 15731.00 | Delivery:  27.6% | Budget Used: 3720.00/4000.0
Ep   50 | Phase: PROTAGO | Ticks: 787 | Protag R: -16483.00 | Antag R: 16112.00 | Delivery:  25.5% | Budget Used: 3720.00/4000.0
  [EVAL ep 50] greedy_atk=6769 learned_atk=8548 gap=+1780 +/-1221 (neg = learned beats greedy under attack)
Saving checkpoints for both agents before phase switch...
Ep   51 | Phase: PROTAGO | Ticks: 797 | Protag R: -11638.00 | Antag R: 11266.00 | Delivery:  25.0% | Budget Used: 3720.00/4000.0
