Seeded run: seed=0
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen06_dynassign_matrix/dynassign_scripted_seed0/snapshots/protagonist_ep450.pt (node_in_dim=13, edge_in_dim=4).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen06_dynassign_matrix/br_scripted_s0_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep   37 | Phase: ANTAGON | Ticks: 788 | Protag R: -10207.00 | Antag R: 9847.00 | Delivery:  54.3% | Budget Used: 3600.00/4000.0
Ep   38 | Phase: ANTAGON | Ticks: 793 | Protag R: -11233.00 | Antag R: 10886.00 | Delivery:  53.3% | Budget Used: 3480.00/4000.0
Ep   39 | Phase: ANTAGON | Ticks: 790 | Protag R: -12262.00 | Antag R: 11903.00 | Delivery:  51.7% | Budget Used: 3600.00/4000.0
Ep   40 | Phase: ANTAGON | Ticks: 792 | Protag R: -8277.00 | Antag R: 7930.00 | Delivery:  55.3% | Budget Used: 3480.00/4000.0
Ep   41 | Phase: ANTAGON | Ticks: 781 | Protag R: -5954.00 | Antag R: 5607.00 | Delivery:  62.8% | Budget Used: 3480.00/4000.0
Ep   42 | Phase: ANTAGON | Ticks: 799 | Protag R: -12685.00 | Antag R: 12326.00 | Delivery:  49.0% | Budget Used: 3600.00/4000.0
Ep   43 | Phase: ANTAGON | Ticks: 794 | Protag R: -5796.00 | Antag R: 5437.00 | Delivery:  68.6% | Budget Used: 3600.00/4000.0
Ep   44 | Phase: ANTAGON | Ticks: 799 | Protag R: -8927.00 | Antag R: 8556.00 | Delivery:  60.4% | Budget Used: 3720.00/4000.0
Ep   45 | Phase: ANTAGON | Ticks: 799 | Protag R: -8891.00 | Antag R: 8532.00 | Delivery:  57.8% | Budget Used: 3600.00/4000.0
Ep   46 | Phase: ANTAGON | Ticks: 797 | Protag R: -14853.00 | Antag R: 14507.00 | Delivery:  35.0% | Budget Used: 3480.00/4000.0
Ep   47 | Phase: ANTAGON | Ticks: 796 | Protag R: -8986.00 | Antag R: 8627.00 | Delivery:  54.5% | Budget Used: 3600.00/4000.0
Ep   48 | Phase: ANTAGON | Ticks: 794 | Protag R: -13267.00 | Antag R: 12908.00 | Delivery:  50.0% | Budget Used: 3600.00/4000.0
Ep   49 | Phase: ANTAGON | Ticks: 783 | Protag R: -10499.00 | Antag R: 10164.00 | Delivery:  49.0% | Budget Used: 3360.00/4000.0
Ep   50 | Phase: ANTAGON | Ticks: 794 | Protag R: -12500.00 | Antag R: 12153.00 | Delivery:  43.9% | Budget Used: 3480.00/4000.0
Saving checkpoints for both agents before phase switch...
Ep   51 | Phase: ANTAGON | Ticks: 795 | Protag R: -10898.00 | Antag R: 10527.00 | Delivery:  54.9% | Budget Used: 3720.00/4000.0
Ep   52 | Phase: ANTAGON | Ticks: 789 | Protag R: -15909.00 | Antag R: 15550.00 | Delivery:  43.1% | Budget Used: 3600.00/4000.0
Ep   53 | Phase: ANTAGON | Ticks: 796 | Protag R: -8902.00 | Antag R: 8579.00 | Delivery:  58.5% | Budget Used: 3240.00/4000.0
Ep   54 | Phase: ANTAGON | Ticks: 783 | Protag R: -15453.00 | Antag R: 15082.00 | Delivery:  36.8% | Budget Used: 3720.00/4000.0
Ep   55 | Phase: ANTAGON | Ticks: 797 | Protag R: -8001.00 | Antag R: 7665.00 | Delivery:  45.8% | Budget Used: 3360.00/4000.0
Ep   56 | Phase: ANTAGON | Ticks: 794 | Protag R: -8778.00 | Antag R: 8431.00 | Delivery:  58.7% | Budget Used: 3480.00/4000.0
Ep   57 | Phase: ANTAGON | Ticks: 789 | Protag R: -8522.00 | Antag R: 8151.00 | Delivery:  51.1% | Budget Used: 3720.00/4000.0
