Seeded run: seed=0
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen06_dynassign_matrix/dynassign_scripted_seed0
Scripted adversary: pathrand
Starting SACRED training (mode=scripted_adversary) for 800 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training PROTAGONIST

Ep    1 | Phase: PROTAGO | Ticks: 798 | Protag R: -11115.00 | Antag R: 10744.00 | Delivery:  36.2% | Budget Used: 3720.00/4000.0
Ep    2 | Phase: PROTAGO | Ticks: 777 | Protag R: -11899.00 | Antag R: 11528.00 | Delivery:  38.3% | Budget Used: 3720.00/4000.0
Ep    3 | Phase: PROTAGO | Ticks: 796 | Protag R: -16286.00 | Antag R: 15915.00 | Delivery:  26.1% | Budget Used: 3720.00/4000.0
Ep    4 | Phase: PROTAGO | Ticks: 795 | Protag R: -14720.00 | Antag R: 14349.00 | Delivery:  20.9% | Budget Used: 3720.00/4000.0
Ep    5 | Phase: PROTAGO | Ticks: 775 | Protag R: -12493.00 | Antag R: 12121.00 | Delivery:  14.6% | Budget Used: 3720.00/4000.0
Ep    6 | Phase: PROTAGO | Ticks: 798 | Protag R: -14029.00 | Antag R: 13658.00 | Delivery:  24.0% | Budget Used: 3720.00/4000.0
Ep    7 | Phase: PROTAGO | Ticks: 782 | Protag R: -17222.00 | Antag R: 16851.00 | Delivery:   8.3% | Budget Used: 3720.00/4000.0
Ep    8 | Phase: PROTAGO | Ticks: 775 | Protag R: -14128.00 | Antag R: 13757.00 | Delivery:  17.0% | Budget Used: 3720.00/4000.0
Ep    9 | Phase: PROTAGO | Ticks: 780 | Protag R: -18242.00 | Antag R: 17870.00 | Delivery:   6.1% | Budget Used: 3720.00/4000.0
Ep   10 | Phase: PROTAGO | Ticks: 796 | Protag R: -15248.00 | Antag R: 14876.00 | Delivery:  16.0% | Budget Used: 3720.00/4000.0
Ep   11 | Phase: PROTAGO | Ticks: 797 | Protag R: -16723.00 | Antag R: 16352.00 | Delivery:  19.6% | Budget Used: 3720.00/4000.0
Ep   12 | Phase: PROTAGO | Ticks: 794 | Protag R: -15556.00 | Antag R: 15185.00 | Delivery:  17.4% | Budget Used: 3720.00/4000.0
Ep   13 | Phase: PROTAGO | Ticks: 794 | Protag R: -10583.00 | Antag R: 10212.00 | Delivery:  18.4% | Budget Used: 3720.00/4000.0
Ep   14 | Phase: PROTAGO | Ticks: 796 | Protag R: -18611.00 | Antag R: 18239.00 | Delivery:  13.0% | Budget Used: 3720.00/4000.0
Ep   15 | Phase: PROTAGO | Ticks: 797 | Protag R: -15397.00 | Antag R: 15026.00 | Delivery:  17.4% | Budget Used: 3720.00/4000.0
Ep   16 | Phase: PROTAGO | Ticks: 796 | Protag R: -13223.00 | Antag R: 12852.00 | Delivery:  14.6% | Budget Used: 3720.00/4000.0
Ep   17 | Phase: PROTAGO | Ticks: 796 | Protag R: -14438.00 | Antag R: 14066.00 | Delivery:  16.7% | Budget Used: 3720.00/4000.0
Ep   18 | Phase: PROTAGO | Ticks: 784 | Protag R: -16140.00 | Antag R: 15769.00 | Delivery:  18.2% | Budget Used: 3720.00/4000.0
Ep   19 | Phase: PROTAGO | Ticks: 798 | Protag R: -10862.00 | Antag R: 10490.00 | Delivery:  21.9% | Budget Used: 3720.00/4000.0
Ep   20 | Phase: PROTAGO | Ticks: 776 | Protag R: -12971.00 | Antag R: 12600.00 | Delivery:  21.1% | Budget Used: 3720.00/4000.0
Ep   21 | Phase: PROTAGO | Ticks: 775 | Protag R: -14441.00 | Antag R: 14070.00 | Delivery:  27.5% | Budget Used: 3720.00/4000.0
Ep   22 | Phase: PROTAGO | Ticks: 797 | Protag R: -20707.00 | Antag R: 20336.00 | Delivery:  14.5% | Budget Used: 3720.00/4000.0
Ep   23 | Phase: PROTAGO | Ticks: 798 | Protag R: -15959.00 | Antag R: 15588.00 | Delivery:  11.9% | Budget Used: 3720.00/4000.0
Ep   24 | Phase: PROTAGO | Ticks: 791 | Protag R: -17055.00 | Antag R: 16684.00 | Delivery:   9.4% | Budget Used: 3720.00/4000.0
Ep   25 | Phase: PROTAGO | Ticks: 797 | Protag R: -12556.00 | Antag R: 12185.00 | Delivery:  28.1% | Budget Used: 3720.00/4000.0
Ep   26 | Phase: PROTAGO | Ticks: 793 | Protag R: -22335.00 | Antag R: 21964.00 | Delivery:  14.8% | Budget Used: 3720.00/4000.0
Ep   27 | Phase: PROTAGO | Ticks: 798 | Protag R: -8553.00 | Antag R: 8182.00 | Delivery:  21.9% | Budget Used: 3720.00/4000.0
Ep   28 | Phase: PROTAGO | Ticks: 776 | Protag R: -11964.00 | Antag R: 11593.00 | Delivery:  22.5% | Budget Used: 3720.00/4000.0
Ep   29 | Phase: PROTAGO | Ticks: 776 | Protag R: -18051.00 | Antag R: 17680.00 | Delivery:  11.5% | Budget Used: 3720.00/4000.0
Ep   30 | Phase: PROTAGO | Ticks: 796 | Protag R: -15928.00 | Antag R: 15557.00 | Delivery:  17.8% | Budget Used: 3720.00/4000.0
Ep   31 | Phase: PROTAGO | Ticks: 798 | Protag R: -21345.00 | Antag R: 20974.00 | Delivery:  10.3% | Budget Used: 3720.00/4000.0
Ep   32 | Phase: PROTAGO | Ticks: 798 | Protag R: -19519.00 | Antag R: 19147.00 | Delivery:  12.1% | Budget Used: 3720.00/4000.0
Ep   33 | Phase: PROTAGO | Ticks: 775 | Protag R: -18963.00 | Antag R: 18592.00 | Delivery:  15.5% | Budget Used: 3720.00/4000.0
Ep   34 | Phase: PROTAGO | Ticks: 777 | Protag R: -17265.00 | Antag R: 16894.00 | Delivery:  12.5% | Budget Used: 3720.00/4000.0
Ep   35 | Phase: PROTAGO | Ticks: 777 | Protag R: -18039.00 | Antag R: 17668.00 | Delivery:  14.0% | Budget Used: 3720.00/4000.0
Ep   36 | Phase: PROTAGO | Ticks: 798 | Protag R: -18563.00 | Antag R: 18192.00 | Delivery:  16.1% | Budget Used: 3720.00/4000.0
Ep   37 | Phase: PROTAGO | Ticks: 776 | Protag R: -17055.00 | Antag R: 16683.00 | Delivery:  10.9% | Budget Used: 3720.00/4000.0
Ep   38 | Phase: PROTAGO | Ticks: 792 | Protag R: -19899.00 | Antag R: 19528.00 | Delivery:  11.7% | Budget Used: 3720.00/4000.0
Ep   39 | Phase: PROTAGO | Ticks: 792 | Protag R: -19508.00 | Antag R: 19137.00 | Delivery:  18.3% | Budget Used: 3720.00/4000.0
Ep   40 | Phase: PROTAGO | Ticks: 777 | Protag R: -16223.00 | Antag R: 15852.00 | Delivery:   8.5% | Budget Used: 3720.00/4000.0
Ep   41 | Phase: PROTAGO | Ticks: 791 | Protag R: -12808.00 | Antag R: 12437.00 | Delivery:  16.3% | Budget Used: 3720.00/4000.0
Ep   42 | Phase: PROTAGO | Ticks: 796 | Protag R: -19402.00 | Antag R: 19031.00 | Delivery:  11.8% | Budget Used: 3720.00/4000.0
Ep   43 | Phase: PROTAGO | Ticks: 791 | Protag R: -8384.00 | Antag R: 8013.00 | Delivery:  31.4% | Budget Used: 3720.00/4000.0
Ep   44 | Phase: PROTAGO | Ticks: 799 | Protag R: -16715.00 | Antag R: 16344.00 | Delivery:  16.7% | Budget Used: 3720.00/4000.0
Ep   45 | Phase: PROTAGO | Ticks: 788 | Protag R: -12177.00 | Antag R: 11806.00 | Delivery:  28.9% | Budget Used: 3720.00/4000.0
Ep   46 | Phase: PROTAGO | Ticks: 799 | Protag R: -16326.00 | Antag R: 15956.00 | Delivery:  20.0% | Budget Used: 3720.00/4000.0
Ep   47 | Phase: PROTAGO | Ticks: 788 | Protag R: -15811.00 | Antag R: 15440.00 | Delivery:   9.1% | Budget Used: 3720.00/4000.0
Ep   48 | Phase: PROTAGO | Ticks: 798 | Protag R: -16776.00 | Antag R: 16405.00 | Delivery:  24.1% | Budget Used: 3720.00/4000.0
Ep   49 | Phase: PROTAGO | Ticks: 783 | Protag R: -16273.00 | Antag R: 15902.00 | Delivery:  19.6% | Budget Used: 3720.00/4000.0
Ep   50 | Phase: PROTAGO | Ticks: 797 | Protag R: -16228.00 | Antag R: 15857.00 | Delivery:  19.3% | Budget Used: 3720.00/4000.0
  [EVAL ep 50] greedy_atk=5366 learned_atk=5771 gap=+406 +/-255 (neg = learned beats greedy under attack)
Saving checkpoints for both agents before phase switch...
Ep   51 | Phase: PROTAGO | Ticks: 776 | Protag R: -17971.00 | Antag R: 17600.00 | Delivery:  17.6% | Budget Used: 3720.00/4000.0
Ep   52 | Phase: PROTAGO | Ticks: 775 | Protag R: -21462.00 | Antag R: 21091.00 | Delivery:  13.8% | Budget Used: 3720.00/4000.0
Ep   53 | Phase: PROTAGO | Ticks: 776 | Protag R: -16961.00 | Antag R: 16590.00 | Delivery:  17.0% | Budget Used: 3720.00/4000.0
Ep   54 | Phase: PROTAGO | Ticks: 780 | Protag R: -20710.00 | Antag R: 20339.00 | Delivery:  12.3% | Budget Used: 3720.00/4000.0
Ep   55 | Phase: PROTAGO | Ticks: 798 | Protag R: -14086.00 | Antag R: 13714.00 | Delivery:  14.6% | Budget Used: 3720.00/4000.0
Ep   56 | Phase: PROTAGO | Ticks: 779 | Protag R: -14155.00 | Antag R: 13784.00 | Delivery:  21.7% | Budget Used: 3720.00/4000.0
Ep   57 | Phase: PROTAGO | Ticks: 798 | Protag R: -14999.00 | Antag R: 14628.00 | Delivery:  12.8% | Budget Used: 3720.00/4000.0
Ep   58 | Phase: PROTAGO | Ticks: 781 | Protag R: -15798.00 | Antag R: 15426.00 | Delivery:  19.1% | Budget Used: 3720.00/4000.0
Ep   59 | Phase: PROTAGO | Ticks: 797 | Protag R: -13948.00 | Antag R: 13577.00 | Delivery:  14.6% | Budget Used: 3720.00/4000.0
Ep   60 | Phase: PROTAGO | Ticks: 779 | Protag R: -17243.00 | Antag R: 16871.00 | Delivery:   7.1% | Budget Used: 3720.00/4000.0
Ep   61 | Phase: PROTAGO | Ticks: 798 | Protag R: -16554.00 | Antag R: 16183.00 | Delivery:  11.9% | Budget Used: 3720.00/4000.0
Ep   62 | Phase: PROTAGO | Ticks: 791 | Protag R: -14904.00 | Antag R: 14533.00 | Delivery:  19.0% | Budget Used: 3720.00/4000.0
Ep   63 | Phase: PROTAGO | Ticks: 792 | Protag R: -16848.00 | Antag R: 16476.00 | Delivery:  13.5% | Budget Used: 3720.00/4000.0
Ep   64 | Phase: PROTAGO | Ticks: 796 | Protag R: -12742.00 | Antag R: 12371.00 | Delivery:  22.7% | Budget Used: 3720.00/4000.0
Ep   65 | Phase: PROTAGO | Ticks: 797 | Protag R: -12576.00 | Antag R: 12205.00 | Delivery:  20.0% | Budget Used: 3720.00/4000.0
Ep   66 | Phase: PROTAGO | Ticks: 776 | Protag R: -14878.00 | Antag R: 14507.00 | Delivery:  18.8% | Budget Used: 3720.00/4000.0
Ep   67 | Phase: PROTAGO | Ticks: 775 | Protag R: -12379.00 | Antag R: 12007.00 | Delivery:  16.7% | Budget Used: 3720.00/4000.0
Ep   68 | Phase: PROTAGO | Ticks: 797 | Protag R: -7253.00 | Antag R: 6882.00 | Delivery:  28.6% | Budget Used: 3720.00/4000.0
Ep   69 | Phase: PROTAGO | Ticks: 791 | Protag R: -18045.00 | Antag R: 17673.00 | Delivery:  21.4% | Budget Used: 3720.00/4000.0
Ep   70 | Phase: PROTAGO | Ticks: 787 | Protag R: -15986.00 | Antag R: 15614.00 | Delivery:  16.3% | Budget Used: 3720.00/4000.0
Ep   71 | Phase: PROTAGO | Ticks: 798 | Protag R: -15711.00 | Antag R: 15340.00 | Delivery:  24.5% | Budget Used: 3720.00/4000.0
Ep   72 | Phase: PROTAGO | Ticks: 791 | Protag R: -13142.00 | Antag R: 12770.00 | Delivery:  20.0% | Budget Used: 3720.00/4000.0
Ep   73 | Phase: PROTAGO | Ticks: 796 | Protag R: -21524.00 | Antag R: 21153.00 | Delivery:   7.4% | Budget Used: 3720.00/4000.0
Ep   74 | Phase: PROTAGO | Ticks: 776 | Protag R: -12556.00 | Antag R: 12185.00 | Delivery:  20.9% | Budget Used: 3720.00/4000.0
Ep   75 | Phase: PROTAGO | Ticks: 790 | Protag R: -15680.00 | Antag R: 15309.00 | Delivery:  19.6% | Budget Used: 3720.00/4000.0
Ep   76 | Phase: PROTAGO | Ticks: 796 | Protag R: -19357.00 | Antag R: 18986.00 | Delivery:  14.8% | Budget Used: 3720.00/4000.0
Ep   77 | Phase: PROTAGO | Ticks: 796 | Protag R: -16296.00 | Antag R: 15925.00 | Delivery:   9.8% | Budget Used: 3720.00/4000.0
Ep   78 | Phase: PROTAGO | Ticks: 799 | Protag R: -18755.00 | Antag R: 18385.00 | Delivery:  23.7% | Budget Used: 3720.00/4000.0
Ep   79 | Phase: PROTAGO | Ticks: 798 | Protag R: -14714.00 | Antag R: 14343.00 | Delivery:  13.0% | Budget Used: 3720.00/4000.0
Ep   80 | Phase: PROTAGO | Ticks: 783 | Protag R: -15925.00 | Antag R: 15555.00 | Delivery:  18.5% | Budget Used: 3720.00/4000.0
Ep   81 | Phase: PROTAGO | Ticks: 776 | Protag R: -25233.00 | Antag R: 24862.00 | Delivery:   8.1% | Budget Used: 3720.00/4000.0
Ep   82 | Phase: PROTAGO | Ticks: 791 | Protag R: -13954.00 | Antag R: 13583.00 | Delivery:  15.9% | Budget Used: 3720.00/4000.0
Ep   83 | Phase: PROTAGO | Ticks: 796 | Protag R: -21634.00 | Antag R: 21263.00 | Delivery:  11.1% | Budget Used: 3720.00/4000.0
Ep   84 | Phase: PROTAGO | Ticks: 778 | Protag R: -16488.00 | Antag R: 16117.00 | Delivery:  12.5% | Budget Used: 3720.00/4000.0
Ep   85 | Phase: PROTAGO | Ticks: 775 | Protag R: -12174.00 | Antag R: 11803.00 | Delivery:  19.5% | Budget Used: 3720.00/4000.0
Ep   86 | Phase: PROTAGO | Ticks: 775 | Protag R: -13045.00 | Antag R: 12673.00 | Delivery:  18.4% | Budget Used: 3720.00/4000.0
Ep   87 | Phase: PROTAGO | Ticks: 783 | Protag R: -18705.00 | Antag R: 18333.00 | Delivery:  10.4% | Budget Used: 3720.00/4000.0
Ep   88 | Phase: PROTAGO | Ticks: 775 | Protag R: -11523.00 | Antag R: 11152.00 | Delivery:  26.3% | Budget Used: 3720.00/4000.0
Ep   89 | Phase: PROTAGO | Ticks: 799 | Protag R: -18706.00 | Antag R: 18335.00 | Delivery:  17.2% | Budget Used: 3720.00/4000.0
Ep   90 | Phase: PROTAGO | Ticks: 776 | Protag R: -16384.00 | Antag R: 16013.00 | Delivery:  21.6% | Budget Used: 3720.00/4000.0
Ep   91 | Phase: PROTAGO | Ticks: 787 | Protag R: -11542.00 | Antag R: 11171.00 | Delivery:  29.5% | Budget Used: 3720.00/4000.0
Ep   92 | Phase: PROTAGO | Ticks: 794 | Protag R: -16193.00 | Antag R: 15822.00 | Delivery:  20.4% | Budget Used: 3720.00/4000.0
Ep   93 | Phase: PROTAGO | Ticks: 798 | Protag R: -8898.00 | Antag R: 8527.00 | Delivery:  26.5% | Budget Used: 3720.00/4000.0
Ep   94 | Phase: PROTAGO | Ticks: 777 | Protag R: -16285.00 | Antag R: 15914.00 | Delivery:  18.2% | Budget Used: 3720.00/4000.0
Ep   95 | Phase: PROTAGO | Ticks: 775 | Protag R: -13098.00 | Antag R: 12727.00 | Delivery:  26.1% | Budget Used: 3720.00/4000.0
Ep   96 | Phase: PROTAGO | Ticks: 789 | Protag R: -9235.00 | Antag R: 8864.00 | Delivery:  26.3% | Budget Used: 3720.00/4000.0
Ep   97 | Phase: PROTAGO | Ticks: 795 | Protag R: -11735.00 | Antag R: 11364.00 | Delivery:  27.3% | Budget Used: 3720.00/4000.0
Ep   98 | Phase: PROTAGO | Ticks: 797 | Protag R: -14988.00 | Antag R: 14617.00 | Delivery:  16.1% | Budget Used: 3720.00/4000.0
Ep   99 | Phase: PROTAGO | Ticks: 776 | Protag R: -16518.00 | Antag R: 16147.00 | Delivery:   8.3% | Budget Used: 3720.00/4000.0
Ep  100 | Phase: PROTAGO | Ticks: 779 | Protag R: -12706.00 | Antag R: 12334.00 | Delivery:   9.1% | Budget Used: 3720.00/4000.0
  [EVAL ep 100] greedy_atk=5366 learned_atk=5740 gap=+374 +/-281 (neg = learned beats greedy under attack)
Saving checkpoints for both agents before phase switch...
Ep  101 | Phase: PROTAGO | Ticks: 794 | Protag R: -13339.00 | Antag R: 12968.00 | Delivery:  23.8% | Budget Used: 3720.00/4000.0
Ep  102 | Phase: PROTAGO | Ticks: 775 | Protag R: -14458.00 | Antag R: 14087.00 | Delivery:  15.8% | Budget Used: 3720.00/4000.0
Ep  103 | Phase: PROTAGO | Ticks: 797 | Protag R: -12489.00 | Antag R: 12117.00 | Delivery:  19.0% | Budget Used: 3720.00/4000.0
Ep  104 | Phase: PROTAGO | Ticks: 789 | Protag R: -18888.00 | Antag R: 18517.00 | Delivery:  12.5% | Budget Used: 3720.00/4000.0
