Seeded run: seed=1
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen06_dynassign_matrix/vanilla_seed1
Starting SACRED training (mode=vanilla) for 800 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training PROTAGONIST

Ep   39 | Phase: PROTAGO | Ticks: 793 | Protag R: -12081.00 | Antag R: 12082.00 | Delivery:  57.1% | Budget Used:  0.00/4000.0
Ep   40 | Phase: PROTAGO | Ticks: 785 | Protag R: -3429.00 | Antag R: 3430.00 | Delivery:  72.1% | Budget Used:  0.00/4000.0
Ep   41 | Phase: PROTAGO | Ticks: 788 | Protag R: -12480.00 | Antag R: 12481.00 | Delivery:  57.1% | Budget Used:  0.00/4000.0
Ep   42 | Phase: PROTAGO | Ticks: 785 | Protag R: -9651.00 | Antag R: 9652.00 | Delivery:  60.4% | Budget Used:  0.00/4000.0
Ep   43 | Phase: PROTAGO | Ticks: 786 | Protag R: -8566.00 | Antag R: 8567.00 | Delivery:  60.4% | Budget Used:  0.00/4000.0
Ep   44 | Phase: PROTAGO | Ticks: 787 | Protag R: -6433.00 | Antag R: 6434.00 | Delivery:  71.1% | Budget Used:  0.00/4000.0
Ep   45 | Phase: PROTAGO | Ticks: 794 | Protag R: -6929.00 | Antag R: 6930.00 | Delivery:  61.2% | Budget Used:  0.00/4000.0
Ep   46 | Phase: PROTAGO | Ticks: 792 | Protag R: -4065.00 | Antag R: 4066.00 | Delivery:  72.5% | Budget Used:  0.00/4000.0
Ep   47 | Phase: PROTAGO | Ticks: 797 | Protag R: -9012.00 | Antag R: 9012.00 | Delivery:  63.8% | Budget Used:  0.00/4000.0
Ep   48 | Phase: PROTAGO | Ticks: 785 | Protag R: -7355.00 | Antag R: 7356.00 | Delivery:  64.6% | Budget Used:  0.00/4000.0
Ep   49 | Phase: PROTAGO | Ticks: 794 | Protag R: -7410.00 | Antag R: 7411.00 | Delivery:  67.3% | Budget Used:  0.00/4000.0
