Seeded run: seed=0
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen06_dynassign_matrix/vanilla_seed0/snapshots/protagonist_ep750.pt (node_in_dim=13, edge_in_dim=4).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen06_dynassign_matrix/br_vanilla_s0_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep   37 | Phase: ANTAGON | Ticks: 790 | Protag R: -10792.00 | Antag R: 10420.00 | Delivery:  47.8% | Budget Used: 3720.00/4000.0
Ep   38 | Phase: ANTAGON | Ticks: 791 | Protag R: -13651.00 | Antag R: 13280.00 | Delivery:  36.7% | Budget Used: 3720.00/4000.0
Ep   39 | Phase: ANTAGON | Ticks: 786 | Protag R: -13626.00 | Antag R: 13255.00 | Delivery:  43.3% | Budget Used: 3720.00/4000.0
Ep   40 | Phase: ANTAGON | Ticks: 789 | Protag R: -8551.00 | Antag R: 8180.00 | Delivery:  51.1% | Budget Used: 3720.00/4000.0
Ep   41 | Phase: ANTAGON | Ticks: 782 | Protag R: -7162.00 | Antag R: 6791.00 | Delivery:  51.2% | Budget Used: 3720.00/4000.0
Ep   42 | Phase: ANTAGON | Ticks: 789 | Protag R: -12267.00 | Antag R: 11896.00 | Delivery:  51.0% | Budget Used: 3720.00/4000.0
Ep   43 | Phase: ANTAGON | Ticks: 793 | Protag R: -3728.00 | Antag R: 3357.00 | Delivery:  77.1% | Budget Used: 3720.00/4000.0
Ep   44 | Phase: ANTAGON | Ticks: 775 | Protag R: -11312.00 | Antag R: 10941.00 | Delivery:  41.7% | Budget Used: 3720.00/4000.0
Ep   45 | Phase: ANTAGON | Ticks: 781 | Protag R: -9549.00 | Antag R: 9178.00 | Delivery:  51.1% | Budget Used: 3720.00/4000.0
Ep   46 | Phase: ANTAGON | Ticks: 795 | Protag R: -11831.00 | Antag R: 11461.00 | Delivery:  43.3% | Budget Used: 3720.00/4000.0
Ep   47 | Phase: ANTAGON | Ticks: 798 | Protag R: -10399.00 | Antag R: 10028.00 | Delivery:  47.7% | Budget Used: 3720.00/4000.0
Ep   48 | Phase: ANTAGON | Ticks: 798 | Protag R: -13454.00 | Antag R: 13083.00 | Delivery:  44.4% | Budget Used: 3720.00/4000.0
Ep   49 | Phase: ANTAGON | Ticks: 791 | Protag R: -10077.00 | Antag R: 9706.00 | Delivery:  49.0% | Budget Used: 3720.00/4000.0
Ep   50 | Phase: ANTAGON | Ticks: 785 | Protag R: -11246.00 | Antag R: 10875.00 | Delivery:  38.6% | Budget Used: 3720.00/4000.0
Saving checkpoints for both agents before phase switch...
Ep   51 | Phase: ANTAGON | Ticks: 798 | Protag R: -11808.00 | Antag R: 11437.00 | Delivery:  43.1% | Budget Used: 3720.00/4000.0
Ep   52 | Phase: ANTAGON | Ticks: 798 | Protag R: -15662.00 | Antag R: 15291.00 | Delivery:  41.4% | Budget Used: 3720.00/4000.0
Ep   53 | Phase: ANTAGON | Ticks: 776 | Protag R: -10201.00 | Antag R: 9830.00 | Delivery:  49.1% | Budget Used: 3720.00/4000.0
Ep   54 | Phase: ANTAGON | Ticks: 775 | Protag R: -13511.00 | Antag R: 13140.00 | Delivery:  43.9% | Budget Used: 3720.00/4000.0
Ep   55 | Phase: ANTAGON | Ticks: 786 | Protag R: -6363.00 | Antag R: 5991.00 | Delivery:  56.2% | Budget Used: 3720.00/4000.0
Ep   56 | Phase: ANTAGON | Ticks: 789 | Protag R: -9480.00 | Antag R: 9109.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep   57 | Phase: ANTAGON | Ticks: 798 | Protag R: -7713.00 | Antag R: 7342.00 | Delivery:  53.2% | Budget Used: 3720.00/4000.0
Ep   58 | Phase: ANTAGON | Ticks: 793 | Protag R: -8991.00 | Antag R: 8619.00 | Delivery:  55.3% | Budget Used: 3720.00/4000.0
Ep   59 | Phase: ANTAGON | Ticks: 799 | Protag R: -5993.00 | Antag R: 5622.00 | Delivery:  63.4% | Budget Used: 3720.00/4000.0
Ep   60 | Phase: ANTAGON | Ticks: 782 | Protag R: -8156.00 | Antag R: 7784.00 | Delivery:  61.9% | Budget Used: 3720.00/4000.0
Ep   61 | Phase: ANTAGON | Ticks: 799 | Protag R: -8865.00 | Antag R: 8494.00 | Delivery:  50.8% | Budget Used: 3720.00/4000.0
Ep   62 | Phase: ANTAGON | Ticks: 789 | Protag R: -9229.00 | Antag R: 8858.00 | Delivery:  59.5% | Budget Used: 3720.00/4000.0
Ep   63 | Phase: ANTAGON | Ticks: 786 | Protag R: -11252.00 | Antag R: 10880.00 | Delivery:  44.2% | Budget Used: 3720.00/4000.0
Ep   64 | Phase: ANTAGON | Ticks: 796 | Protag R: -5494.00 | Antag R: 5123.00 | Delivery:  59.1% | Budget Used: 3720.00/4000.0
Ep   65 | Phase: ANTAGON | Ticks: 787 | Protag R: -7284.00 | Antag R: 6913.00 | Delivery:  57.8% | Budget Used: 3720.00/4000.0
Ep   66 | Phase: ANTAGON | Ticks: 797 | Protag R: -8446.00 | Antag R: 8075.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep   67 | Phase: ANTAGON | Ticks: 788 | Protag R: -7552.00 | Antag R: 7180.00 | Delivery:  69.4% | Budget Used: 3720.00/4000.0
Ep   68 | Phase: ANTAGON | Ticks: 785 | Protag R: -1822.00 | Antag R: 1451.00 | Delivery:  89.3% | Budget Used: 3720.00/4000.0
Ep   69 | Phase: ANTAGON | Ticks: 783 | Protag R: -12117.00 | Antag R: 11745.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep   70 | Phase: ANTAGON | Ticks: 785 | Protag R: -10322.00 | Antag R: 9950.00 | Delivery:  46.9% | Budget Used: 3720.00/4000.0
Ep   71 | Phase: ANTAGON | Ticks: 780 | Protag R: -9856.00 | Antag R: 9485.00 | Delivery:  59.2% | Budget Used: 3720.00/4000.0
Ep   72 | Phase: ANTAGON | Ticks: 793 | Protag R: -9641.00 | Antag R: 9269.00 | Delivery:  44.4% | Budget Used: 3720.00/4000.0
Ep   73 | Phase: ANTAGON | Ticks: 779 | Protag R: -13641.00 | Antag R: 13270.00 | Delivery:  44.4% | Budget Used: 3720.00/4000.0
Ep   74 | Phase: ANTAGON | Ticks: 792 | Protag R: -6236.00 | Antag R: 5865.00 | Delivery:  60.5% | Budget Used: 3720.00/4000.0
Ep   75 | Phase: ANTAGON | Ticks: 791 | Protag R: -13511.00 | Antag R: 13140.00 | Delivery:  39.3% | Budget Used: 3720.00/4000.0
Ep   76 | Phase: ANTAGON | Ticks: 798 | Protag R: -12000.00 | Antag R: 11629.00 | Delivery:  41.0% | Budget Used: 3720.00/4000.0
Ep   77 | Phase: ANTAGON | Ticks: 791 | Protag R: -7899.00 | Antag R: 7528.00 | Delivery:  63.4% | Budget Used: 3720.00/4000.0
Ep   78 | Phase: ANTAGON | Ticks: 783 | Protag R: -14716.00 | Antag R: 14346.00 | Delivery:  44.1% | Budget Used: 3720.00/4000.0
Ep   79 | Phase: ANTAGON | Ticks: 797 | Protag R: -7885.00 | Antag R: 7514.00 | Delivery:  54.3% | Budget Used: 3720.00/4000.0
Ep   80 | Phase: ANTAGON | Ticks: 797 | Protag R: -12008.00 | Antag R: 11638.00 | Delivery:  38.9% | Budget Used: 3720.00/4000.0
Ep   81 | Phase: ANTAGON | Ticks: 780 | Protag R: -16611.00 | Antag R: 16240.00 | Delivery:  40.3% | Budget Used: 3720.00/4000.0
Ep   82 | Phase: ANTAGON | Ticks: 794 | Protag R: -9081.00 | Antag R: 8710.00 | Delivery:  47.7% | Budget Used: 3720.00/4000.0
Ep   83 | Phase: ANTAGON | Ticks: 783 | Protag R: -14751.00 | Antag R: 14380.00 | Delivery:  41.3% | Budget Used: 3720.00/4000.0
Ep   84 | Phase: ANTAGON | Ticks: 794 | Protag R: -9909.00 | Antag R: 9538.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep   85 | Phase: ANTAGON | Ticks: 797 | Protag R: -7261.00 | Antag R: 6890.00 | Delivery:  58.5% | Budget Used: 3720.00/4000.0
Ep   86 | Phase: ANTAGON | Ticks: 788 | Protag R: -5350.00 | Antag R: 4978.00 | Delivery:  65.8% | Budget Used: 3720.00/4000.0
